162
HLIG	,	-97.803575	,	17.829966	,	1784	,	0.00023389	,	1
HPIG	,	-105.664022	,	26.936807	,	1786	,	0.00023389	,	1
HSIG	,	-110.949303	,	29.019753	,	250	,	0.00023389	,	1
HUIG	,	-96.108323	,	15.769198	,	130	,	0.00023389	,	1
IGIG	,	-101.327817	,	20.753090	,	1806	,	0.00023389	,	1
JRQG	,	-100.447092	,	20.703728	,	1985	,	0.00023389	,	1
LNIG	,	-99.465605	,	24.898108	,	329	,	0.00023389	,	1
LVIG	,	-96.418540	,	19.726278	,	57	,	0.00023389	,	1
MAIG	,	-106.425569	,	23.183913	,	7	,	0.00023389	,	1
MBIG	,	-115.198139	,	32.407183	,	2	,	0.00023389	,	1
MEIG	,	-99.619725	,	17.924894	,	554	,	0.00023389	,	1
MMIG	,	-103.345540	,	18.288540	,	61	,	0.00023389	,	1
MOIG	,	-101.227300	,	19.646708	,	2000	,	0.00023389	,	1
MYIG	,	-89.639582	,	20.948070	,	13	,	0.00023389	,	1
OXIG	,	-96.732948	,	17.072744	,	1737	,	0.00023389	,	1
PCIG	,	-93.218853	,	15.704652	,	105	,	0.00023389	,	1
PEIG	,	-97.147588	,	15.997687	,	356	,	0.00023389	,	1
PLIG	,	-99.502345	,	18.392048	,	975	,	0.00023389	,	1
PNIG	,	-98.127340	,	16.392843	,	273	,	0.00023389	,	1
PPIG	,	-98.628147	,	19.067050	,	61	,	0.00023389	,	1
SCIG	,	-91.186542	,	18.966988	,	18	,	0.00023389	,	1
SPIG	,	-115.465728	,	31.045744	,	2803	,	0.00023389	,	1
SRIG	,	-112.241013	,	27.319805	,	61	,	0.00023389	,	1
TGIG	,	-93.122308	,	16.778216	,	634	,	0.00023389	,	1
TLIG	,	-98.566470	,	17.562675	,	1136	,	0.00023389	,	1
THIG	,	-92.295808	,	14.882278	,	136	,	0.00023389	,	1
TJIG	,	-116.674678	,	32.433847	,	336	,	0.00023389	,	1
TOIG	,	-97.064643	,	18.095638	,	1028	,	0.00023389	,	1
TPIG	,	-97.361969	,	18.420230	,	1482	,	0.00023389	,	1
TSIG	,	-109.046530	,	25.604853	,	12	,	0.00023389	,	1
TUIG	,	-94.422503	,	18.033694	,	7	,	0.00023389	,	1
TXIG	,	-97.767683	,	17.253228	,	2306	,	0.00023389	,	1
YAIG	,	-99.067031	,	18.862469	,	1311	,	0.00023389	,	1
YOIG	,	-97.545647	,	16.856573	,	2290	,	0.00023389	,	1
ZAIG	,	-102.567000	,	22.769200	,	2408	,	0.00023389	,	1
ZIIG	,	-101.464922	,	17.606950	,	92	,	0.00023389	,	1
CMIG	,	-94.883800	,	17.090988	,	72	,	0.00023389	,	1
LPIG	,	-110.309311	,	24.101000	,	72	,	0.00023389	,	1
TEIG	,	-88.276217	,	20.226278	,	2803	,	0.00023389	,	1
