%lon       lat      area     depth_w  grid   subregion  
-68.675   41.325   23.17    80.9     309    2          
-68.675   41.375   23.15    93.9     310    2          
-68.675   41.425   23.13    99.0     311    2          
-68.675   41.475   23.12    109.9    312    1          
-68.675   41.525   23.10    133.0    313    1          
-68.675   41.575   23.08    140.0    314    1          
-68.675   41.625   23.06    144.9    315    1          
-68.675   41.675   23.04    156.0    316    1          
-68.675   41.725   23.03    174.4    317    1          
-68.675   41.775   23.01    186.9    318    1          
-68.625   40.225   23.56    144.4    319    4          
-68.625   40.275   23.54    114.1    320    4          
-68.625   40.325   23.52    101.2    321    4          
-68.625   40.375   23.50    90.3     322    4          
-68.625   40.425   23.49    88.2     323    4          
-68.625   40.475   23.47    84.0     324    4          
-68.625   40.525   23.45    73.6     325    4          
-68.625   40.575   23.43    66.7     326    4          
-68.625   40.625   23.42    60.6     327    4          
-68.625   40.675   23.40    59.4     328    4          
-68.625   40.725   23.38    61.1     329    4          
-68.625   40.775   23.36    59.6     330    4          
-68.625   40.825   23.35    53.6     331    4          
-68.625   40.875   23.33    55.1     332    4          
-68.625   40.925   23.31    53.1     333    4          
-68.625   40.975   23.29    45.9     334    4          
-68.625   41.025   23.27    55.8     335    2          
-68.625   41.075   23.26    57.0     336    2          
-68.625   41.125   23.24    56.8     337    2          
-68.625   41.175   23.22    59.7     338    2          
-68.625   41.225   23.20    60.5     339    2          
-68.625   41.275   23.19    63.9     340    2          
-68.625   41.325   23.17    73.0     341    2          
-68.625   41.375   23.15    84.9     342    2          
-68.625   41.425   23.13    92.9     343    2          
-68.625   41.475   23.12    99.9     344    2          
-68.625   41.525   23.10    117.9    345    1          
-68.625   41.575   23.08    135.9    346    1          
-68.625   41.625   23.06    135.0    347    1          
-68.625   41.675   23.04    162.8    348    1          
-68.625   41.725   23.03    174.5    349    1          
-68.625   41.775   23.01    169.6    350    1          
-68.575   40.225   23.56    184.0    351    5          
-68.575   40.275   23.54    122.5    352    4          
-68.575   40.325   23.52    103.7    353    4          
-68.575   40.375   23.50    93.1     354    4          
-68.575   40.425   23.49    90.0     355    4          
-68.575   40.475   23.47    86.4     356    4          
-68.575   40.525   23.45    77.5     357    4          
-68.575   40.575   23.43    69.1     358    4          
-68.575   40.625   23.42    61.0     359    4          
-68.575   40.675   23.40    54.9     360    4          
-68.575   40.725   23.38    53.4     361    4          
-68.575   40.775   23.36    55.1     362    4          
-68.575   40.825   23.35    54.6     363    2          
-68.575   40.875   23.33    55.0     364    2          
-68.575   40.925   23.31    53.6     365    2          
-68.575   40.975   23.29    47.8     366    2          
-68.575   41.025   23.27    51.3     367    2          
