longitude latitude Probability(%)	
97.309330 3.154980 72.274821
97.309330 3.354980 63.629244
97.309330 3.554980 57.197694
97.309330 3.754980 54.217553
97.309330 3.954980 53.536014
97.309330 4.154980 49.516655
97.309330 4.354980 42.743664
97.309330 4.554980 40.735250
97.309330 4.754980 36.899078
97.309330 4.954980 33.689127
97.309330 5.154980 31.984608
97.509330 0.954980 99.894090
97.509330 1.154980 99.889857
97.509330 1.354980 99.885514
97.509330 2.954980 72.677252
97.509330 3.154980 64.079750
97.509330 3.354980 57.752396
97.509330 3.554980 54.170725
97.509330 3.754980 53.274440
97.509330 3.954980 50.800562
97.509330 4.154980 47.593685
97.509330 4.354980 46.451349
97.509330 4.554980 44.173864
97.509330 4.754980 37.107877
97.509330 4.954980 33.425195
97.509330 5.154980 29.995107
97.709330 0.754980 99.902650
97.709330 0.954980 99.898734
97.709330 1.154980 99.894655
97.709330 2.354980 92.166564
97.709330 2.554980 82.892885
97.709330 2.754980 73.125459
97.709330 2.954980 64.670614
97.709330 3.154980 58.514072
97.709330 3.354980 55.139344
97.709330 3.554980 54.123370
97.709330 3.754980 50.109767
97.709330 3.954980 46.862358
97.709330 4.154980 44.661309
97.709330 4.354980 41.420645
97.709330 4.554980 38.896332
97.709330 4.754980 35.419019
97.709330 4.954980 31.238947
97.909330 0.954980 99.903240
97.909330 2.354980 83.959811
97.909330 2.554980 73.845081
97.909330 2.754980 65.334107
97.909330 2.954980 59.653641
97.909330 3.154980 56.685711
97.909330 3.354980 54.918234
97.909330 3.554980 49.781614
97.909330 3.754980 44.038509
97.909330 3.954980 40.786163
97.909330 4.154980 38.913124
97.909330 4.354980 36.605813
97.909330 4.554980 34.990988
97.909330 4.754980 31.858598
98.109330 2.354980 75.141338
98.109330 2.554980 66.018347
98.109330 2.754980 60.781064
98.109330 2.954980 58.493596
98.109330 3.154980 55.030628
98.109330 3.354980 48.881493
98.109330 3.554980 43.739693
98.109330 3.754980 40.114326
98.109330 3.954980 37.642195
98.109330 4.154980 35.789335
98.109330 4.354980 34.325164
98.309330 2.154980 71.050816
98.309330 2.354980 65.061787
98.309330 2.554980 60.521823
98.309330 2.754980 59.387251
98.309330 2.954980 54.437440
98.309330 3.154980 47.918796
98.309330 3.354980 43.287699
98.309330 3.554980 40.095699
98.309330 3.754980 37.758175
98.309330 3.954980 35.541729
98.509330 -0.245020 99.934032
98.509330 1.954980 70.103690
98.509330 2.154980 64.052796
98.509330 2.354980 57.946511
98.509330 2.554980 58.640109
98.509330 2.754980 53.998367
98.509330 2.954980 52.480683
98.509330 3.154980 44.584653
98.509330 3.354980 40.218151
98.509330 3.554980 37.906185
98.509330 3.754980 35.780511
98.709330 -1.245020 99.948952
98.709330 -1.045020 99.946805
98.709330 0.154980 99.931700
98.709330 1.754980 65.293246
98.709330 1.954980 64.509452
98.709330 2.154980 58.396688
98.709330 2.354980 57.099280
98.709330 2.554980 52.383468
98.709330 2.754980 51.806203
98.709330 2.954980 49.413678
98.709330 3.154980 42.562264
98.709330 3.354980 38.826024
98.709330 3.554980 36.209042
98.709330 3.754980 34.539332
98.909330 -1.645020 99.955385
98.909330 -1.445020 99.953500
98.909330 -1.245020 99.951522
98.909330 -1.045020 99.949447
98.909330 1.154980 69.781294
98.909330 1.354980 68.966309
98.909330 1.554980 63.325059
98.909330 1.754980 58.091386
98.909330 1.954980 58.204332
98.909330 2.154980 57.149234
98.909330 2.354980 50.889398
98.909330 2.554980 49.747792
98.909330 2.754980 50.721563
98.909330 2.954980 44.543634
98.909330 3.154980 40.032992
98.909330 3.354980 37.036699
98.909330 3.554980 35.118755
99.109330 -1.645020 99.957694
99.109330 -1.445020 99.955877
99.109330 0.754980 76.778785
99.109330 0.954980 70.564436
99.109330 1.154980 66.797893
99.109330 1.354980 61.962148
99.109330 1.554980 58.220601
99.109330 1.754980 57.838380
99.109330 1.954980 54.917213
99.109330 2.154980 49.770528
99.109330 2.354980 48.989660
99.109330 2.554980 50.842487
99.109330 2.754980 45.132886
99.109330 2.954980 40.351289
99.109330 3.154980 37.495070
99.109330 3.354980 35.633183
99.109330 3.554980 34.341953
99.309330 0.354980 79.209707
99.309330 0.554980 75.314820
99.309330 0.754980 69.881931
99.309330 0.954980 66.355536
99.309330 1.154980 61.499300
99.309330 1.354980 59.122176
99.309330 1.554980 56.852053
99.309330 1.754980 51.713926
99.309330 1.954980 46.829481
99.309330 2.154980 44.889450
99.309330 2.354980 49.036814
99.309330 2.554980 46.232990
99.309330 2.754980 40.443879
99.309330 2.954980 37.510458
99.309330 3.154980 35.830171
99.309330 3.354980 34.664863
99.509330 0.154980 75.021237
99.509330 0.354980 69.382412
99.509330 0.554980 68.615367
99.509330 0.754980 67.190821
99.509330 0.954980 63.008537
99.509330 1.154980 59.253404
99.509330 1.354980 55.232324
99.509330 1.554980 48.947760
