Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label
100329	34.0918	-117.807	462.66	160	320	Puddingstone Reservoir	0	CHELAR
100335	34.0144	-118.456	377.62	600	2900	Santa Monica Fire St	3	LAB
100349	34.0602	-117.809	481.14	220	320	Cal Poly Pomona	1	SBCB
100377	34.0095	-117.951	342.64	240	2440	Walnut	1	SGB
100382	34.0838	-118.599	428.08	320	320	Topanga Canyon	0	SMMR
100386	33.8244	-116.512	346	320	320	Palm Spgs City Hall	3	IVB
100390	33.7043	-117.886	222	400	3720	Santa Ana	3	LAB
100391	34.416	-118.449	368.74	160	1820	Solamint	1	SCMR
100395	34.382	-117.678	586	0	760	Table Mountain 2	0	SGMR
100397	34.021	-117.866	383.4	160	1640	Walnut - La Puente & Lemon	0	CHELAR
100398	33.9487	-118.256	268.81	840	5360	Watts	3	LAB
100417	33.9627	-118.437	402.06	700	2040	Playa Del Rey	3	LAB
100418	34.2287	-118.558	292.23	340	2820	Northridge	3	SFB
100422	34.0593	-118.646	750.25	0	0	Saddle Peak Fire Camp 8	0	SMMR
100426	34.1207	-117.638	388.68	160	1040	Padua	3	SBCB
100430	34.1047	-117.98	371.97	360	2820	Rio Hondo	3	SGB
100431	33.7953	-117.609	699	0	1180	Pleasants Peak	0	MVSMR
100432	34.0497	-118.12	390.1	320	2400	Garvey Reservoir	0	GR
100434	34.1717	-118.65	383.69	100	2420	West Side Station	0	SMMR
100435	34.293	-119.165	249	740	7280	Saticoy	2	VB
100456	34.3956	-118.498	394.66	340	2120	Quigley Station	0	SCMR
100460	33.9454	-117.924	414.77	420	2560	Olinda	0	CHELAR
100463	34.154	-118.463	315.8	220	1160	Sherman Oaks - Ventura & Columbus	2	SFB
100473	34.115	-118.38	1043	160	320	Wonderland Avenue School	0	SMMR
100483	34.0192	-118.286	277.66	580	4100	Univ Southern Ca	3	LAB
100507	33.7903	-118.199	229.32	700	2960	State Street	3	LAB
100515	34.425	-117.544	402.6	0	1700	Phelan - Centola & Phelan Rds	3	MBR
