Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label			Num	Simulation name	Network	Code	Lat	Lon
80000179	33.5736	-116.675	416.933	0	1200	"Walmic Ranch, Anza, CA, USA"	0	IER			718	station.718	CI	Q0026	33.64305	-117.56943
100161	33.5751	-117.261	399.9	0	0	Bear Creek Country Club	1	MVSMR			123	station.123	CE	13329	33.645	-117.841
3072	33.5828	-117.072	493.34	0	0	Murietta Hot Springs - Skinner	0	IER			563	station.563	CI	ELS	33.64698	-117.42812
3064	33.597	-117.879	389.87	0	2220	Kerckhoff Marine Laboratory	0	MVSMR			564	station.564	CI	ELS2	33.64907	-117.42604
3071	33.6	-117.195	622.32	0	0	"Jodan Farms Nursery, Murrieta"	0	IER			39	station.39	NP	5281	33.65587	-117.85963
1223	33.6022	-116.756	480.22	0	1200	Anza - Tripp Flats Training	0	IER			42	station.42	NP	5286	33.65829	-117.93174
3015	33.604	-117.906	277.83	200	3060	Newport Beach - Balboa & Medina	3	LAB			125	station.125	CE	13441	33.66	-117.775
3004	33.604	-117.279	338.28	0	0	Wildomar - Palomar	1	IER			115	station.115	CE	13197	33.6623	-117.9974
1664	33.605	-117.89	361.56	200	2880	Newport Beach - Balboa Island	3	LAB			119	station.119	CE	13215	33.6626	-117.9023
203	33.607	-116.453	724.89	20	20	Anza - Pinyon Flat	0	SJMR			118	station.118	CE	13214	33.663	-117.903
100200	33.6117	-116.459	763	20	20	Pinon Flats Observatory Ca Usa	0	SJMR			800	station.800	CI	STG	33.664	-117.76856
80000001	33.6122	-117.041	575.75	0	0	Bachelor Mountain	0	IER			161	station.161	CE	13922	33.6689	-117.332
80000166	33.6192	-116.681	663.452	0	0	"TMSP, CA, USA"	0	SJMR			565	station.565	CI	ESI	33.67388	-117.32643
100127	33.63	-116.848	704.1	0	0	"Red Mountain, Riverside Co., Ca, Usa"	0	IER			757	station.757	CI	RKMO	33.67421	-117.60947
276	33.634	-117.902	339.6	320	3460	Newport Bch - Irvine Ave. F.S	3	LAB			147	station.147	CE	13887	33.6765	-117.9629
100191	33.6384	-116.401	760	20	20	Agave Hill	0	SJMR			43	station.43	NP	5287	33.67795	-117.87015
1351	33.649	-117.205	503	0	0	Menifee Valley - Murrieta&Scott	0	IER			116	station.116	CE	13208	33.678	-117.754
3053	33.65	-117.009	576.04	0	0	Domenigoni Reservoir	0	IER			120	station.120	CE	13220	33.6781	-117.7527
80000133	33.6515	-116.739	664.108	0	1020	"Rouse Ridge, CA, USA"	0	SJMR			639	station.639	CI	LLS	33.68447	-117.94304
278	33.662	-117.997	315.52	600	3680	Huntington Beach - Lake St	3	LAB			724	station.724	CI	Q0034	33.69021	-117.65525
3091	33.664	-117.769	302.09	0	1720	Santiago	1	LAB			713	station.713	CI	Q0018	33.69615	-117.95279
80000050	33.6689	-116.674	281.5	0	0	Garner Valley	1	SJMR			44	station.44	NP	5288	33.69729	-118.02485
1345	33.669	-117.332	581	0	0	Lake Elsinore - Graham & Poe	1	IER			104	station.104	CE	13096	33.6989	-117.2664
80000043	33.6739	-117.326	363.933	0	0	Elsinore	1	IER			152	station.152	CE	13892	33.6997	-117.8801
202	33.6758	-116.68	407.61	0	0	Hurkey Creek Park	0	SJMR			765	station.765	CI	SAN	33.70432	-117.88578
3018	33.676	-117.963	284.52	440	4000	Huntington Beach - Adams & Bushard	3	LAB			575	station.575	CI	FMP	33.71264	-118.29381
3065	33.684	-117.943	244.74	480	4180	"Fountain Valley, I-5"	3	LAB			166	station.166	CE	13930	33.7155	-117.1915
