Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label			Num	Simulation name	Network	Code	Lat	Lon
3128	34.041	-118.248	299.65	320	2160	Los Angeles - 7th & San Julian	3	LAB			183	station.183	CE	14043	33.9385	-118.3269
544	34.042	-118.554	191.06	160	380	Pacific Palisades - Sunset	0	SMMR			245	station.245	CE	14934	33.9386	-118.3005
358	34.043	-118.271	304.68	320	2140	LA - Pico & Sentous	3	LAB			228	station.228	CE	14828	33.939	-118.0989
100257	34.044	-118.443	307.5	380	3360	Los Angeles - I405 & Missouri	2	LAB			93	station.93	NP	5499	33.94046	-118.42066
80000075	34.0445	-118.776	421.529	0	0	Latigo	0	SMMR			61	station.61	NP	5399	33.94382	-118.4139
584	34.046	-118.355	308.71	500	2900	LA - Saturn St	3	LAB			624	station.624	CI	LAX	33.94382	-118.4139
3030	34.046	-117.035	418.6	320	1900	Yucaipa - Bryant & Oak Glen	1	IER			223	station.223	CE	14823	33.944	-118.246
1247	34.047	-117.277	358.92	220	920	San Bernardino - Mont. Mem Pk	0	IER			732	station.732	CI	Q0047	33.94436	-117.98807
223	34.0486	-116.578	396.41	20	1840	Morongo Valley Fire Station	1	SBMR			222	station.222	CE	14822	33.945	-118.3811
113	34.049	-118.112	468.18	440	2340	Garvey Res. - Control Bldg	0	GR			677	station.677	CI	OLI	33.94539	-117.92372
100540	34.049	-116.94	760	0	1920	Yucaipa; Oak Glen Christian Conf	0	SBMR			234	station.234	CE	14840	33.9463	-118.0011
100432	34.0497	-118.12	390.1	320	2400	Garvey Reservoir	0	GR			658	station.658	CI	MNO	33.94738	-117.17278
1147	34.05	-117.264	348.87	300	1440	Loma Linda Univ Medical Center	2	SBCB			742	station.742	CI	Q0067	33.9475	-117.99124
100279	34.0507	-118.081	278.64	460	2180	Rush	2	SGB			194	station.194	CE	14176	33.948	-118.1837
1608	34.051	-117.25	342.79	280	1220	"Loma Linda; VA Hospital, North Freefield"	3	SBCB			835	station.835	CI	WTT2	33.94867	-118.25539
353	34.053	-118.171	365.22	320	2180	LA - City Terrace	0	GR			834	station.834	CI	WTT	33.94869	-118.25547
302	34.056	-117.748	384.44	200	320	Pomona - 4th & Locust FF	3	SBCB			110	station.110	CE	13123	33.9506	-117.4453
1659	34.058	-118.252	337.71	320	2080	Los Angeles - 1st & Figueroa	0	GR			156	station.156	CE	13914	33.951	-117.3883
1254	34.058	-117.305	432.47	240	940	Colton - Kaiser Medical Clinic	3	SBCB			209	station.209	CE	14537	33.9517	-118.3362
357	34.059	-118.246	452.15	320	2120	LA - Temple & Hope	0	GR			717	station.717	CI	Q0023	33.95483	-117.57606
100422	34.0593	-118.646	750.25	0	0	Saddle Peak Fire Camp 8	0	SMMR			714	station.714	CI	Q0020	33.96024	-116.95333
100349	34.0602	-117.809	481.14	220	320	Cal Poly Pomona	1	SBCB			215	station.215	CE	14766	33.961	-118.379
354	34.062	-118.198	332.28	320	2120	Los Angeles - 7-story Univ Hospital (FF)	1	GR			177	station.177	CE	14028	33.9622	-118.0655
333	34.063	-118.418	277.98	320	2460	LA - Century City CC North	2	LAB			687	station.687	CI	PDR	33.96273	-118.43702
1379	34.063	-117.784	368.88	200	320	Pomona - Orange Grove & Fairplex	2	SBCB			216	station.216	CE	14767	33.9628	-118.3804
565	34.064	-117.952	334.69	340	3060	West Covina - S Orange Ave	3	SGB			102	station.102	CE	13080	33.9677	-117.2519
3116	34.065	-117.893	345.88	220	2060	West Covina - Cortez & Citrus	2	SGB			221	station.221	CE	14821	33.9686	-118.2912
303	34.065	-117.292	296.97	340	1820	San Bernardino - E & Hospitality	3	SBCB			235	station.235	CE	14844	33.9689	-118.1492
1221	34.067	-117.117	351.31	320	1940	Mentone Fire Station #9	3	SBCB			513	station.513	CI	BRS	33.97145	-116.91265
360	34.068	-118.439	398.42	320	1140	LA - UCLA Grounds	0	SMMR			760	station.760	CI	RSB	33.9731	-117.3272
3043	34.069	-117.398	325.13	180	320	Rialto - I10 & Cedar	3	SBCB			761	station.761	CI	RSS	33.97327	-117.32674
1248	34.069	-117.275	316.83	340	1960	San Bernardino - Fire Sta. #11	3	SBCB			212	station.212	CE	14606	33.975	-118.037
1660	34.07	-118.346	320.88	320	2100	Los Angeles - 3rd & La Brea LADOT	3	LAB			632	station.632	CI	LGB	33.9753	-118.14918
342	34.07	-118.15	549.75	320	1800	Alhambra - Fremont School	2	GR			160	station.160	CE	13921	33.9753	-117.4865
1259	34.073	-118.117	330.03	320	2240	Los Angeles - Acosta Residence	3	SGB			225	station.225	CE	14825	33.9762	-118.2086
3033	34.074	-117.183	328.76	180	320	Redlands - Orange	3	SBCB			184	station.184	CE	14044	33.9763	-118.3534
1263	34.0762	-118.396	460.09	320	1980	Beverly Hills Pac Bell Bsmt	3	LAB			17	station.17	NP	804	33.97693	-118.03642
1431	34.077	-118.286	439.6	320	1940	Los Angeles - Beverly Blvd & Virgil	2	LAB			122	station.122	CE	13312	33.978	-117.373
562	34.078	-117.871	346.62	160	1620	Covina - S Grand Ave	2	CHELAR			129	station.129	CE	13702	33.979	-117.374
1219	34.079	-117.045	387.12	320	1500	Mill Creek Ranger Station	0	SBMR			157	station.157	CE	13915	33.9792	-117.3439
530	34.082	-118.298	315.06	320	1920	LA - N Westmoreland	3	LAB			721	station.721	CI	Q0030	33.97979	-117.75391
100382	34.0838	-118.599	428.08	320	320	Topanga Canyon	0	SMMR			113	station.113	CE	13174	33.989	-117.89
226	34.084	-118.6	505.97	320	320	Topanga - Fire Sta	0	SMMR			174	station.174	CE	14017	33.9896	-118.3121
100255	34.084	-118.307	358	320	1960	Los Angeles - Melrose & Western	3	LAB			112	station.112	CE	13162	33.9901	-117.7178
524	34.086	-118.481	740.05	80	320	LA - Chalon Rd	0	SMMR			508	station.508	CI	BHP	33.99053	-118.36171
3094	34.0869	-117.311	329.42	300	1400	"SBVC, Observatory"	3	SBCB			182	station.182	CE	14041	33.991	-118.1212
564	34.087	-117.915	324.79	220	2440	Covina - W Badillo	3	SGB			249	station.249	CE	14985	33.9914	-118.4594
535	34.088	-118.222	366.71	320	1940	LA - Cypress Ave	1	GR			178	station.178	CE	14035	33.9927	-118.3963
1218	34.088	-116.919	436.14	0	1540	Forest Falls Post Office	1	SBMR			220	station.220	CE	14820	33.9934	-118.3425
525	34.089	-118.435	255	320	320	LA - N Faring Rd	0	SMMR			763	station.763	CI	RVR	33.99351	-117.37545
326	34.09	-118.339	316.46	320	2020	LA - Hollywood Stor FF	3	LAB			810	station.810	CI	TCC	33.99465	-118.01397
528	34.091	-118.093	401.37	220	2020	San Gabriel - E Grand Ave	3	SGB			226	station.226	CE	14826	33.9964	-118.2544
1253	34.091	-117.289	279.46	280	1340	San Bernardino - Fire Sta. #10	3	SBCB			528	station.528	CI	CHN	33.99879	-117.68044
100329	34.0918	-117.807	462.66	160	320	Puddingstone Reservoir	0	CHELAR			189	station.189	CE	14060	33.999	-118.1782
560	34.093	-118.019	290.63	380	3040	El Monte - Fairview Av	3	SGB			302	station.302	CE	23842	33.9998	-117.9354
3050	34.093	-117.317	267.92	280	1180	"Colton, Grape St. and W. Mill"	3	SBCB			627	station.627	CI	LCG	34.00033	-118.37794
3058	34.094	-116.936	416	0	1460	Forest Home - SOSAF Station	0	SBMR			752	station.752	CI	RHC	34.00094	-118.0131
1406	34.096	-117.287	314.48	260	1040	San Bernardino - Mtn Vw & Clstr	3	SBCB			753	station.753	CI	RHC2	34.00095	-118.01333
100158	34.0967	-118.479	681.2	80	320	Los Angeles; Sepulveda Canyon	1	SMMR			450	station.450	CE	24841	34.0013	-118.0783
563	34.1	-117.974	544.68	380	2840	Baldwin Park - N Holly	3	SGB			271	station.271	CE	23173	34.0018	-117.8143
3059	34.1	-117.439	335.43	200	440	"Fontana, Arrow Hwy and Bennett"	3	SBCB			310	station.310	CE	23920	34.0035	-117.0588
3123	34.1	-117.434	329.24	200	440	Fontana - Arrow & Sierra	3	SBCB			334	station.334	CE	24039	34.004	-118.287
1657	34.103	-118.316	413.39	320	2020	Hollywood - Franklin & Bronson	3	LAB			499	station.499	CI	ARB	34.00431	-117.6054
1249	34.103	-117.349	325.97	180	360	San Bernardino - Fire Sta. #9	3	SBCB			24	station.24	NP	5037	34.00437	-117.22403
301	34.104	-117.574	390.18	200	400	"Rancho Cucamonga - Law and Justince Center FF, Foothill and Haven"	3	SBCB			696	station.696	CI	PTD	34.00443	-118.80686
100430	34.1047	-117.98	371.97	360	2820	Rio Hondo	3	SGB			657	station.657	CI	MLS	34.0046	-117.56162
3060	34.1052	-117.283	444.01	200	580	San Bernardino - FS No. 01	3	SBCB			836	station.836	ZY	WVES	34.005	-118.279
3092	34.106	-117.098	698.72	320	1500	"Mentone, Greenspot Rd."	0	SBMR			340	station.340	CE	24061	34.0055	-118.2308
100101	34.1062	-118.455	668.72	320	320	Donna Jones Jenkins	0	SMMR			475	station.475	CE	24970	34.0073	-118.4366
100179	34.1082	-119.066	419.23	320	320	Laguna Peak	0	SMMR			352	station.352	CE	24157	34.0083	-118.3621
100149	34.1092	-117.784	368.4	160	320	La Verne;WeymouthFFPrsvr roof	1	SBCB			829	station.829	CI	WLT	34.00948	-117.95077
1245	34.1105	-117.099	626.44	20	1460	Seven Oaks Dam Downstream Surf.	1	SBMR			383	station.383	CE	24396	34.0123	-118.8023
534	34.111	-118.189	364.91	320	1480	LA - N Figueroa St	1	GR			485	station.485	CE	24987	34.0125	-118.257
3118	34.112	-117.681	351.45	160	1100	Upland - 13th & Benson	3	SBCB			262	station.262	CE	23091	34.0135	-117.5106
526	34.114	-118.38	1222.52	20	320	LA - Wonderland Ave	0	SMMR			788	station.788	CI	SMS	34.01438	-118.45617
100473	34.115	-118.38	1043	160	320	Wonderland Avenue School	0	SMMR			467	station.467	CE	24941	34.0174	-118.1468
536	34.115	-118.244	329.06	260	1120	LA - Fletcher Dr	1	GR			819	station.819	CI	USC	34.01919	-118.28631
338	34.115	-118.13	379.43	160	1700	San Marino - SW Academy	3	SGB			3	station.3	NP	289	34.02	-118.054
1148	34.118	-118.299	1015.88	320	320	LA - Griffith Park Observatory	0	GR			311	station.311	CE	23938	34.0209	-117.8657
100426	34.1207	-117.638	388.68	160	1040	Padua	3	SBCB			410	station.410	CE	24655	34.021	-118.29
3124	34.121	-117.738	355.02	160	980	Claremont - Hwy 30 & Towne	2	SBCB			409	station.409	CE	24652	34.021	-118.288
3062	34.121	-117.219	335.43	200	320	"Highland, Baseline"	3	SBCB			483	station.483	CE	24984	34.0212	-118.3251
1257	34.1229	-117.288	426.21	200	320	San Bernardino - Lincoln School	3	SBCB			784	station.784	CI	SMF	34.02159	-118.44675
100528	34.123	-117.54	379.5	180	380	Rancho Cucamonga - Baseline & Rochester	3	SBCB			785	station.785	CI	SMF2	34.02199	-118.44629
3119	34.125	-117.454	332.35	180	320	Fontana - Citrus & Baseline	3	SBCB			580	station.580	CI	GAV	34.02248	-117.50492
523	34.127	-118.405	545.66	100	320	Beverly Hills - 12520 Mulhol	0	SMMR			453	station.453	CE	24852	34.0245	-118.2853
585	34.13	-118.036	367.53	220	2020	Arcadia - Campus Dr	3	SGB			333	station.333	CE	24034	34.0255	-118.2301
100153	34.1307	-118.492	425.3	100	320	Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level	0	SMMR			269	station.269	CE	23164	34.0262	-117.1553
3041	34.133	-117.253	584	200	320	San Bernardino - Highland & Rosa	0	SBCB			391	station.391	CE	24463	34.027	-118.225
1414	34.135	-117.322	328.6	320	320	San Bernardino - Medical Center	3	SBCB			336	station.336	CE	24048	34.0289	-118.4824
1220	34.136	-117.213	362.39	160	1240	Highland Fire Station	3	SBCB			478	station.478	CE	24979	34.0289	-118.4087
1242	34.1367	-118.129	340	160	1440	Pasadena - USGS/NSMP Office	3	SGB			466	station.466	CE	24909	34.0294	-118.4353
100110	34.1368	-118.128	366.77	160	1440	Geol. Surv. Anal.	3	SGB			356	station.356	CE	24202	34.031	-118.479
100095	34.1368	-118.122	399	160	1480	Caltech Athenaeum Cellar	3	SGB			335	station.335	CE	24040	34.0312	-118.2078
100262	34.1369	-118.126	333	160	1460	Caltech Millikan Library	3	SGB			451	station.451	CE	24850	34.0317	-118.0192
559	34.137	-117.883	362.31	220	1440	Glendora - N Oakbank	2	SGB			280	station.280	CE	23416	34.032	-117.608
1436	34.139	-118.364	365.47	220	900	Universal City - Hwy 101 & Lankershim	2	SFB			259	station.259	CE	23084	34.0328	-117.312
1252	34.14	-117.294	322.53	200	320	San Bernardino - Fire Sta. #4	3	SBCB			281	station.281	CE	23417	34.0332	-117.6073
1251	34.1449	-117.219	396.01	160	1240	San Bernardino - Serrano School	2	SBCB			524	station.524	CI	CFT	34.03547	-117.11241
519	34.146	-118.412	400.44	220	1000	Studio City - Ventura & Coldwater Cyn Av	2	SFB			303	station.303	CE	23843	34.036	-117.95
100160	34.1465	-118.767	423.11	220	320	Agoura	1	SMMR			415	station.415	CE	24703	34.0362	-118.3784
100249	34.148	-118.371	306.7	220	1000	North Hollywood - Hwy 101 & Vineland	3	SFB			591	station.591	ZY	HLT	34.0365	-118.3818
100562	34.1484	-118.171	639.74	20	700	Pasadena (PASA)	0	GR			416	station.416	CE	24704	34.037	-118.376
547	34.15	-118.696	403.72	100	2460	Calabasas - N Las Virg	0	SMMR			385	station.385	CE	24400	34.037	-118.178
100113	34.1504	-118.102	383.09	180	1460	Kinemetrics	3	SGB			448	station.448	CE	24838	34.0373	-118.2642
100087	34.151	-119.198	258.1	620	3520	Port Hueneme - 2nd & Clara	3	VB			290	station.290	CE	23547	34.0374	-117.2065
100463	34.154	-118.463	315.8	220	1160	Sherman Oaks - Ventura & Columbus	2	SFB			329	station.329	CE	24025	34.0408	-118.1296
1264	34.155	-118.641	373.3	100	2360	Calabasas Pac Bell	0	SMMR			324	station.324	CE	24018	34.0409	-118.7108
100280	34.1561	-118.82	383.09	320	320	Thousand Oaks Ventura	0	SMMR			445	station.445	CE	24818	34.0411	-118.3493
340	34.16	-118.534	257.21	220	1020	Tarzana - Cedar Hill	2	SFB			476	station.476	CE	24977	34.0411	-118.2478
341	34.16	-118.534	257.21	220	1020	Tarzana - Cedar Hill A	2	SFB			407	station.407	CE	24612	34.0428	-118.2723
1246	34.165	-117.288	441.33	320	1440	San Bernardino - Fire Sta. #7	1	SBCB			254	station.254	CE	23057	34.043	-117.9116
1250	34.1663	-117.251	642.83	20	1520	San Bernardino - Del Rosa Wk Sta	0	SBMR			477	station.477	CE	24978	34.0437	-118.4428
521	34.168	-118.331	320.57	300	1000	Burbank - N Buena Vista	3	SFB			401	station.401	CE	24579	34.044	-118.262
311	34.169	-117.579	509.1	20	1160	Rancho Cucamonga - Deer Can	0	SGMR			622	station.622	CI	LAT	34.04449	-118.77643
100282	34.1714	-118.185	714	20	320	"Pasadena Art Center, College Of Design"	0	GR			321	station.321	CE	24014	34.0449	-118.5223
100434	34.1717	-118.65	383.69	100	2420	West Side Station	0	SMMR			257	station.257	CE	23075	34.0464	-117.0352
80000078	34.1741	-119.156	251.133	520	2920	Levy	3	VB			408	station.408	CE	24629	34.048	-118.262
100274	34.1764	-118.36	290.17	340	1200	North Hollywood	3	SFB			13	station.13	NP	709	34.04863	-118.11205
339	34.177	-118.096	375.16	160	1280	Altadena - Eaton Canyon	2	SGB			33	station.33	NP	5229	34.04872	-117.25124
1667	34.185	-118.623	308.33	220	2580	Woodland Hills - Victory & Fallbrook	2	SFB			443	station.443	CE	24816	34.0488	-118.2913
1798	34.1851	-118.447	304.04	320	2280	Van Nuys - Fire Station No. 39	3	SFB			402	station.402	CE	24581	34.049	-118.26
1787	34.193	-118.51	287.16	300	2380	Reseda - Fire Station 100	3	SFB			83	station.83	NP	5442	34.04905	-116.94032
1216	34.193	-117.427	630.66	320	1120	San Bernardino - Sycamore FS	0	SGMR			587	station.587	CI	GVR	34.04972	-118.11995
518	34.194	-118.412	326.47	340	2080	N Hollywood - Coldwater Can	3	SFB			838	station.838	ZY	WVS	34.0498	-118.4485
1260	34.1949	-118.354	422.33	340	1200	Burbank Airport	3	SFB			398	station.398	CE	24567	34.05	-118.247
80000184	34.1968	-116.406	429.188	0	1560	Yucca Valley	1	MBR			421	station.421	CE	24723	34.05	-118.176
80000066	34.197	-117.285	297	0	0	Inspiration point	0	SBMR			0	station.0	NP	129	34.05	-117.264
1419	34.199	-118.396	303.1	340	1740	North Hollywood - Laurel Canyon & Sherman	3	SFB			482	station.482	CE	24983	34.0507	-118.384
558	34.2	-118.231	371.07	100	320	Glendale - Las Palmas	1	GR			762	station.762	CI	RUS	34.05075	-118.08078
80000009	34.2001	-118.36	320.333	340	1200	Burbank Airport  (aka BBA2)	3	SFB			404	station.404	CE	24602	34.051	-118.26
1255	34.205	-117.365	495.59	320	1340	San Bernardino - N Verdemont Sch	1	SBCB			338	station.338	CE	24053	34.052	-118.242
364	34.208	-119.079	351.4	320	320	Camarillo	3	VB			743	station.743	CI	Q0069	34.05223	-118.77894
512	34.209	-118.517	280.86	340	2780	Northridge - 17645 Saticoy St	3	SFB			34	station.34	NP	5233	34.05225	-118.26372
1265	34.2096	-118.186	399.8	100	320	La Canada - Wald Residence	0	SGMR			28	station.28	NP	5082	34.05271	-118.45253
548	34.212	-118.606	267.49	380	2540	Canoga Park - Topanga Can	3	SFB			403	station.403	CE	24592	34.053	-118.171
1408	34.219	-118.627	326.47	100	2480	West Hills -Roscoe & Fallbrook	2	SFB			684	station.684	CI	PCF	34.05304	-117.79144
80000016	34.2204	-119.009	422.855	320	320	Camarillo	2	VB			87	station.87	NP	5477	34.05374	-118.23968
515	34.221	-118.421	320.93	360	2200	Sun Valley - Roscoe Blvd	3	SFB			360	station.360	CE	24222	34.054	-118.243
80000052	34.2212	-118.188	565.767	20	320	Gould	0	SGMR			837	station.837	ZY	WVN	34.0543	-118.453
1771	34.222	-119.04	291.9	540	3220	Camarillo - Arneill & Pickwick	3	VB			82	station.82	NP	5439	34.05453	-118.23646
516	34.222	-118.442	318.16	360	1860	Panorama City - Roscoe	3	SFB			418	station.418	CE	24713	34.055	-118.265
100121	34.2236	-118.058	760	0	0	Mount Wilson Obsv	0	SGMR			373	station.373	CE	24289	34.055	-118.251
1435	34.224	-118.994	383.99	160	320	Camarillo - Woodcreek & Santa Rosa	2	VB			90	station.90	NP	5485	34.05504	-118.46187
336	34.224	-118.057	680.37	0	0	Mt Wilson - CIT Seis Sta	0	SGMR			479	station.479	CE	24980	34.0557	-118.2739
100520	34.224	-117.331	760	0	1480	San Bernardino - Devil Canyon Penstock	0	SBMR			372	station.372	CE	24288	34.056	-118.252
100418	34.2287	-118.558	292.23	340	2820	Northridge	3	SFB			285	station.285	CE	23511	34.056	-117.75
3084	34.232	-117.235	393	0	1520	Strawberry Peak	0	SBMR			282	station.282	CE	23481	34.056	-117.179
1266	34.233	-117.482	414.03	0	1340	Lytle Creek Fire Station	1	SGMR			287	station.287	CE	23525	34.0563	-117.7487
517	34.235	-118.366	393.67	400	1500	Sun Valley - Sunland	2	GR			363	station.363	CE	24248	34.057	-118.206
1232	34.235	-117.407	526.24	320	1260	Devore - Devore Water Company	0	SBMR			258	station.258	CE	23077	34.057	-117.698
315	34.236	-118.439	297.71	360	2140	Arleta - Nordhoff Fire Sta	3	SFB			379	station.379	CE	24363	34.0578	-118.2096
555	34.238	-118.254	411.55	100	320	La Crescenta - New York	1	SFB			315	station.315	CE	24008	34.058	-118.246
100092	34.2388	-117.659	500	0	1100	Mt. Baldy Ranger Station	0	SGMR			364	station.364	CE	24249	34.058	-118.209
1389	34.241	-116.872	406.7	0	1340	Big Bear Lake - Fire Station	0	SBMR			365	station.365	CE	24250	34.058	-118.208
80000005	34.2436	-118.673	464.333	20	320	Black Canyon	0	SMMR			289	station.289	CE	23544	34.058	-117.753
100155	34.2473	-118.604	282.5	220	2760	Chatsworth; Fire Station 96 Marilla St; 1-story; ground level	2	SFB			56	station.56	NP	5341	34.05802	-117.30492
108	34.2489	-118.479	380.06	360	3580	LA - Sepulveda VA Hospital	3	SFB			449	station.449	CE	24839	34.0582	-118.2522
100099	34.2535	-118.334	434.29	160	320	Green Verdugo Microwave Site	0	GR			444	station.444	CE	24817	34.0585	-118.4796
100204	34.262	-118.669	350.8	320	320	Simi Valley - Katherine Rd & Sylvan	1	SV			359	station.359	CE	24216	34.059	-118.246
100543	34.2623	-116.921	356	0	1320	Big Bear Solar Observatory	0	SBMR			406	station.406	CE	24611	34.0591	-118.2466
553	34.269	-118.303	402.16	100	1220	Sunland - Mt Gleason Ave	1	SFB			794	station.794	CI	SPF	34.05933	-118.64614
100522	34.2709	-118.744	260	320	1080	Simi Valley	1	SV			613	station.613	ZY	KSRG	34.0596	-118.4736
100069	34.271	-118.735	292.2	320	1080	Simi Valley - Church St & Los Angeles Av	1	SV			446	station.446	CE	24819	34.0598	-118.4491
80000013	34.2712	-117.424	472	0	1260	Cajon Mountain	0	SBMR			539	station.539	CI	CPP	34.0602	-117.809
1776	34.2772	-118.56	449.95	160	2200	Granada Hills - Porter Ranch Fire Station 8	0	SCMR			366	station.366	CE	24260	34.062	-118.201
100120	34.2808	-118.905	355.87	320	3320	Moorpark	1	SV			405	station.405	CE	24605	34.062	-118.201
63	34.281	-118.478	282.25	160	3820	Rinaldi Receiving Sta	2	SCMR			301	station.301	CE	23837	34.0625	-117.785
556	34.286	-118.225	550.11	40	320	"Big Tujunga, Angeles Nat F"	0	SGMR			447	station.447	CE	24833	34.0627	-118.3156
325	34.288	-118.881	341.58	320	3300	Moorpark - Fire Sta	0	SCMR			10	station.10	NP	638	34.06273	-118.46321
1794	34.289	-118.746	364.84	320	1340	Simi Valley - Sycamore & Avenida	1	SCMR			617	station.617	ZY	LA02	34.063	-118.418
100435	34.293	-119.165	249	740	7280	Saticoy	2	VB			299	station.299	CE	23792	34.064	-117.298
316	34.296	-118.375	508.08	160	2040	Pacoima Kagel Canyon	0	SGMR			253	station.253	CE	23056	34.0649	-117.893
80000025	34.298	-117.358	598.427	0	1320	Cedar Springs Dam	0	SBMR			291	station.291	CE	23631	34.065	-117.296
100132	34.303	-119.187	489.62	660	6620	Santa Clara	0	SCMR			288	station.288	CE	23542	34.065	-117.292
100116	34.3053	-118.488	370.36	220	4180	Los Angeles Filtration Plant	0	SCMR			286	station.286	CE	23516	34.065	-117.29
510	34.306	-118.437	348.87	100	3580	Sylmar - Sayre St	3	SFB			393	station.393	CE	24468	34.066	-118.169
1268	34.3088	-118.448	398.94	100	4420	Sylmar - Fire Station #91	3	SFB			276	station.276	CE	23287	34.066	-117.28
1795	34.3108	-118.497	373.07	100	4260	Jensen Filter Plant Administrative Building Free Field (K2)	2	SCMR			283	station.283	CE	23495	34.066	-117.215
110	34.312	-118.496	373.07	120	4220	Jensen Filter Plant Administrative Building	0	SCMR			295	station.295	CE	23773	34.0667	-117.9846
1153	34.313	-118.498	525.79	320	4220	Jensen Filter Plant Generator Building	0	SCMR			567	station.567	FA	FABS	34.0668	-118.442
306	34.314	-117.545	506	0	1480	Wrightwood - Nielson Ranch	1	SGMR			50	station.50	NP	5329	34.06908	-117.27572
100609	34.3148	-117.546	433.34	0	1480	"Wrightwood, Lone Pine Canyon"	1	SGMR			308	station.308	CE	23899	34.0692	-117.3981
344	34.326	-118.444	440.54	100	4980	Sylmar - Olive View Med FF	2	SCMR			452	station.452	CE	24851	34.0695	-118.3464
1429	34.327	-118.444	420.81	100	5040	Sylmar - County Hospital Grounds	2	SGMR			390	station.390	CE	24461	34.07	-118.15
100096	34.3334	-118.026	927	0	700	Chilao Flat Rngr Sta	0	SGMR			619	station.619	ZY	LA04	34.07	-118.15
80000158	34.3336	-119.014	410.279	160	1360	South Mountain	0	SCMR			31	station.31	NP	5162	34.07018	-117.12112
80000107	34.3436	-118.614	471.573	320	3080	Oat Mountain	0	SCMR			703	station.703	CI	Q0002	34.07249	-118.39911
80000150	34.348	-116.827	622.141	0	740	Silver Peak	0	SBMR			59	station.59	NP	5396	34.07287	-118.17741
99	34.36	-117.63	486	0	1040	Wrightwood - 6074 Park Dr	1	SGMR			296	station.296	CE	23774	34.073	-117.939
1237	34.36	-117.629	399.84	0	1040	Wrightwood Post Office	1	SGMR			298	station.298	CE	23788	34.074	-117.351
100118	34.3656	-117.367	365	0	1360	Lugo	2	MBR			270	station.270	CE	23169	34.074	-117.183
100112	34.3662	-116.613	388	0	740	Johnson Valley	1	MBR			740	station.740	CI	Q0064	34.07479	-118.94245
100395	34.382	-117.678	586	0	760	Table Mountain 2	0	SGMR			325	station.325	CE	24020	34.0752	-118.2176
324	34.387	-118.533	269.14	420	1440	Newhall - Fire Sta	1	SCMR			348	station.348	CE	24114	34.0753	-118.0419
557	34.39	-118.08	569.84	0	660	"Mill Creek, Angeles Nat For"	0	SGMR			63	station.63	NP	5402	34.07618	-118.3959
1215	34.393	-117.805	488	0	0	Paradise Springs - Camp Office	1	SGMR			516	station.516	CI	BVH	34.07618	-118.3959
100456	34.3956	-118.498	394.66	340	2120	Quigley Station	0	SCMR			304	station.304	CE	23895	34.0763	-117.6705
1262	34.397	-118.918	420.48	980	6580	Fillmore Pac Bell	1	SCRV			305	station.305	CE	23896	34.0773	-117.6215
1400	34.405	-117.313	358.36	0	1220	Hesperia - 4th & Palm	2	MBR			454	station.454	CE	24853	34.0774	-118.2865
80000046	34.4092	-118.921	378	840	6560	Fillmore	1	SCMR			26	station.26	NP	5080	34.07834	-118.69391
100391	34.416	-118.449	368.74	160	1820	Solamint	1	SCMR			25	station.25	NP	5076	34.07951	-117.04483
552	34.419	-118.426	325.6	160	1760	Canyon Country - W Lost Cany	1	SCMR			739	station.739	CI	Q0063	34.08023	-118.26821
80000036	34.4242	-118.662	480.521	320	4440	Del Valle Training Center	0	SCMR			764	station.764	CI	SAD	34.08087	-118.66554
100515	34.425	-117.544	402.6	0	1700	Phelan - Centola & Phelan Rds	3	MBR			744	station.744	CI	Q0073	34.08356	-118.65087
											438	station.438	CE	24811	34.0837	-118.3081
											27	station.27	NP	5081	34.08377	-118.599
											811	station.811	CI	TCF	34.08377	-118.599
											332	station.332	CE	24033	34.0841	-118.1006
											5	station.5	NP	482	34.0849	-118.15001
											81	station.81	NP	5438	34.08681	-117.31149
											362	station.362	CE	24236	34.09	-118.339
											618	station.618	ZY	LA03	34.09	-118.339
											279	station.279	CE	23328	34.091	-117.809
											695	station.695	CI	PSR	34.09181	-117.80709
											55	station.55	NP	5339	34.09182	-117.29019
											278	station.278	CE	23327	34.0922	-117.8101
											535	station.535	CI	CLT	34.09284	-117.31687
											723	station.723	CI	Q0033	34.09323	-118.86623
											349	station.349	CE	24115	34.0955	-118.0119
											313	station.313	CE	23940	34.0957	-117.7452
											274	station.274	CE	23179	34.0959	-117.906
											533	station.533	CI	CLM	34.09613	-117.72297
											297	station.297	CE	23780	34.0964	-117.2872
											15	station.15	NP	757	34.09657	-118.47959
											440	station.440	CE	24813	34.0969	-118.2312
											331	station.331	CE	24030	34.0971	-118.1306
											436	station.436	CE	24809	34.0972	-118.3533
											576	station.576	CI	FON	34.09957	-117.43876
											309	station.309	CE	23912	34.0996	-117.4341
											481	station.481	CE	24982	34.1	-118.288
											614	station.614	CI	KYP	34.1012	-118.88017
											729	station.729	CI	Q0043	34.10162	-118.65964
											437	station.437	CE	24810	34.1034	-118.3175
											330	station.330	CE	24029	34.1034	-118.1001
											51	station.51	NP	5330	34.10348	-117.34895
											263	station.263	CE	23107	34.104	-117.574
											284	station.284	CE	23497	34.104	-117.574
											756	station.756	CI	RIO	34.10473	-117.97956
											47	station.47	NP	5326	34.105	-117.2827
											523	station.523	CI	CFS	34.10539	-117.28287
