station_id,station_name,station_sequence_no,station_id_no_nga,station_latitude,station_longitude,vs30_selected_for_analysis,new_z1_cvmsi,new_z25_cvmsi
4469,Rancho Sisquoc,80000125,CI_RSI,34.8519,-120.209,480.521,0,5300
4473,"Redfield Campus, S. Reno, Nevada",80000126,NN_REDF,39.39,-119.765,496.264,0,0
4442,Renegade Canyon,80000127,CI_WRC2,35.9479,-117.65,498.933,0,0
4626,"RF07, 3050 Skyline Blvd. w84gm",80000128,NN_SKYF,39.4825,-119.834,337,0,0
4497,Rodman Mountain,80000130,CI_RMM,34.6438,-116.624,602.726,0,0
4496,Rose Hills Cemetery 2,80000131,CI_RHC2,34.0009,-118.013,488.485,320,1960
4557,Rose Valley Canyon 2,80000132,CI_WRV2,36.0077,-117.89,343.933,0,960
4490,"Rouse Ridge, CA, USA",80000133,AZ_RRSP,33.6515,-116.739,664.108,0,1020
4485,"Ryan, Nevada w84,gps",80000135,NN_RYN,38.6281,-118.522,575.007,0,0
4630,San Luis Aqueduct,80000136,WR_SAQ,37.0458,-120.949,422.855,0,0
4631,San Luis Crk Check 11,80000137,WR_SCK,37.1833,-121.07,480.521,0,0
4633,San Luis D seis vault,80000138,WR_SLD,37.0747,-121.22,661.933,0,0
4634,San Luis Parks and Rec,80000139,WR_SPR,37.0812,-121.061,416.933,0,0
4415,San Miguel Island,80000140,CI_SMI,34.0382,-120.351,447.282,0,0
4584,Santa Barbara County Fire Station #18,80000141,CI_GFS,34.4766,-120.214,429.733,0,2040
4404,"Santa Margarita Ecological Reserve, CA, USA",80000142,AZ_SMER,33.4577,-117.171,581.985,0,0
4430,Santa Rosa Island,80000143,CI_SRI,33.9787,-120.079,385.1,0,0
4632,Shaffer Mtn,80000144,WR_SFM,40.4587,-120.357,602.733,0,0
4427,"Sheep Range, Nevada w84gm",80000145,NN_SHP,36.5047,-115.157,476.434,0,0
4421,"Shell Creek North, Shandon, CA, USA",80000146,BK_TSCN,35.544,-120.348,476.461,0,1380
4583,"Shell Creek South, Shandon, CA, USA",80000147,BK_TSCS,35.4407,-120.354,386.072,0,0
4536,Shuttle,80000148,CI_SHU,34.6428,-118.165,294.667,0,700
4450,Signal Mtn,80000149,CI_SGL,32.6493,-115.726,397.188,80,80
4541,Silver Peak,80000150,CI_SIL,34.348,-116.827,622.141,0,740
4539,Sisquoc - FS #23,80000151,CI_SQC,34.8665,-120.294,325,0,4380
4481,Sleepy Hollow,80000153,CI_SLH,33.1927,-116.254,397.188,100,1960
4627,Slide Mountain Microwave  w84gm,80000154,NN_SLID,39.3143,-119.884,624.659,0,0
4439,Snort,80000155,CI_SRT,35.6923,-117.751,277.667,0,2820
4537,Solemint,80000156,CI_SLM,34.4523,-118.423,416.933,160,2000
4419,"South End of Cholame Valley, Shandon, CA, USA",80000157,BK_THIS,35.724,-120.228,510.4,0,4760
4538,South Mountain,80000158,CI_SMT,34.3336,-119.014,410.279,160,1360
4587,St. Joseph Seminary,80000159,NC_JSJ,37.3338,-122.092,484.7,0,0
4568,Stevens Creek,80000160,NC_JSCB,37.2842,-122.124,671.267,0,0
4554,Stringfellow Superfund Site Jurupa Mountains,80000161,CI_SSS,34.031,-117.455,422.855,160,320
4503,Tehachapi,80000162,CI_THC,34.9085,-118.664,652.842,0,760
4505,Tejon Ranch,80000163,CI_TJR,35.0272,-118.744,387.6,0,0
4516,Temblor Range,80000164,CI_TM3,35.0869,-119.536,439.067,0,4060
4504,Thermal Canyon,80000165,CI_THM,33.6507,-116.077,451.568,700,1780
4406,"TMSP, CA, USA",80000166,AZ_TMSP,33.6192,-116.681,663.452,0,0
4407,"Toro Peak, Riverside Co, CA, USA",80000167,AZ_TRO,33.5234,-116.426,638.577,20,20
4440,Tower 2,80000168,CI_TOW2,35.8086,-117.765,348.667,0,3020
4416,Tropico Hills,80000170,CI_TPO,34.8788,-118.229,462.617,0,1200
4582,"Twisselman Ranch, Shandon, CA, USA",80000171,BK_TRAY,35.5517,-120.126,476.461,0,4680
4454,"UNLV greenhouse area, Las Vegas Valley",80000172,NN_UNVG,36.1106,-115.145,420,0,0
4509,Valencia Peak digital,80000173,PG_VPD,35.2399,-120.869,262,0,0
