Num	Simulation name	Network	Code	Lat	Lon
58	station.58	NP	5373	34.12288	-117.28792
59	station.59	NP	5396	34.07287	-118.17741
60	station.60	NP	5398	34.19551	-118.3534
61	station.61	NP	5399	33.94382	-118.4139
62	station.62	NP	5401	34.39727	-118.91807
63	station.63	NP	5402	34.07618	-118.3959
64	station.64	NP	5404	34.15573	-118.64093
65	station.65	NP	5406	34.24108	-118.52927
66	station.66	NP	5407	34.13692	-118.1262
67	station.67	NP	5408	34.21	-118.186
68	station.68	NP	5409	34.23396	-117.48244
69	station.69	NP	5411	33.83066	-118.32888
70	station.70	NP	5421	34.13065	-118.49205
71	station.71	NP	5422	34.18504	-118.44698
72	station.72	NP	5423	34.30878	-118.44791
73	station.73	NP	5424	34.19301	-118.5103
74	station.74	NP	5425	34.27718	-118.55965
75	station.75	NP	5426	34.28972	-118.50108
76	station.76	NP	5427	34.17291	-118.54935
77	station.77	NP	5428	34.24739	-118.60345
78	station.78	NP	5429	33.90386	-118.24532
79	station.79	NP	5431	34.2186	-118.86804
80	station.80	NP	5432	34.26944	-118.78273
81	station.81	NP	5438	34.08681	-117.31149
82	station.82	NP	5439	34.05453	-118.23646
83	station.83	NP	5442	34.04905	-116.94032
84	station.84	NP	5449	33.74861	-117.87501
85	station.85	NP	5471	34.19988	-118.36201
86	station.86	NP	5476	34.23488	-118.67558
87	station.87	NP	5477	34.05374	-118.23968
88	station.88	NP	5480	34.70312	-118.42573
89	station.89	NP	5481	34.5993	-118.45375
90	station.90	NP	5485	34.05504	-118.46187
91	station.91	NP	5492	34.20011	-118.36044
92	station.92	NP	5498	33.87316	-117.12102
93	station.93	NP	5499	33.94046	-118.42066
94	station.94	CE	12649	33.933	-116.991
95	station.95	CE	12919	33.9299	-116.9726
96	station.96	CE	13066	33.8401	-117.9568
97	station.97	CE	13067	33.7861	-117.8094
98	station.98	CE	13068	33.8633	-117.7421
99	station.99	CE	13069	33.7676	-117.8497
100	station.100	CE	13070	33.4851	-117.6689
101	station.101	CE	13079	33.9174	-117.443
102	station.102	CE	13080	33.9677	-117.2519
103	station.103	CE	13095	33.8178	-117.1327
104	station.104	CE	13096	33.6989	-117.2664
105	station.105	CE	13097	33.6043	-117.2787
106	station.106	CE	13098	33.8842	-117.5141
107	station.107	CE	13099	33.876	-117.593
108	station.108	CE	13100	33.875	-117.636
109	station.109	CE	13122	33.8688	-117.7094
110	station.110	CE	13123	33.9506	-117.4453
111	station.111	CE	13160	33.6336	-117.9031
112	station.112	CE	13162	33.9901	-117.7178
113	station.113	CE	13174	33.989	-117.89
114	station.114	CE	13186	33.882	-117.549
115	station.115	CE	13197	33.6623	-117.9974
116	station.116	CE	13208	33.678	-117.754
117	station.117	CE	13213	33.912	-117.196
118	station.118	CE	13214	33.663	-117.903
119	station.119	CE	13215	33.6626	-117.9023
120	station.120	CE	13220	33.6781	-117.7527
121	station.121	CE	13291	33.624	-117.929
122	station.122	CE	13312	33.978	-117.373
123	station.123	CE	13329	33.645	-117.841
124	station.124	CE	13364	33.585	-117.729
125	station.125	CE	13441	33.66	-117.775
126	station.126	CE	13589	33.624	-117.93
127	station.127	CE	13610	33.623	-117.931
128	station.128	CE	13698	33.856	-117.541
129	station.129	CE	13702	33.979	-117.374
130	station.130	CE	13705	33.882	-117.55
131	station.131	CE	13726	33.8556	-117.5404
132	station.132	CE	13795	33.466	-117.667
133	station.133	CE	13849	33.8534	-117.818
134	station.134	CE	13873	33.9331	-117.8963
135	station.135	CE	13875	33.7774	-117.8335
136	station.136	CE	13876	33.604	-117.905
137	station.137	CE	13877	33.6054	-117.8896
138	station.138	CE	13878	33.8891	-117.887
139	station.139	CE	13879	33.8663	-117.9591
140	station.140	CE	13880	33.9086	-117.9311
141	station.141	CE	13881	33.9315	-117.9557
142	station.142	CE	13882	33.9274	-117.8034
143	station.143	CE	13883	33.853	-117.857
144	station.144	CE	13884	33.7667	-117.9178
145	station.145	CE	13885	33.7571	-117.9558
146	station.146	CE	13886	33.7911	-117.968
147	station.147	CE	13887	33.6765	-117.9629
148	station.148	CE	13888	33.8195	-117.8495
149	station.149	CE	13889	33.7478	-117.8439
150	station.150	CE	13890	33.742	-117.8938
151	station.151	CE	13891	33.7157	-117.9037
152	station.152	CE	13892	33.6997	-117.8801
153	station.153	CE	13893	33.7846	-117.8902
154	station.154	CE	13894	33.789	-117.9215
