BEA	20150	33.8752	-118.201	
BEA	20160	33.8752	-118.191	
BEA	20170	33.8752	-118.18	
BEA	20180	33.8753	-118.169	
BEA	20190	33.8753	-118.158	
BEA	2020	33.8746	-118.342	
BEA	2030	33.8746	-118.331	
BEA	2040	33.8747	-118.32	
BEA	2050	33.8747	-118.31	
BEA	2060	33.8748	-118.299	
BEA	2070	33.8748	-118.288	
BEA	2080	33.8749	-118.277	
BEA	2090	33.8749	-118.266	
BEA	300	33.8835	-118.364	
BEA	30100	33.8839	-118.256	
BEA	3010	33.8835	-118.353	
BEA	30110	33.884	-118.245	
BEA	30120	33.884	-118.234	
BEA	30130	33.8841	-118.223	
BEA	30140	33.8841	-118.212	
BEA	30150	33.8841	-118.201	
BEA	30160	33.8842	-118.191	
BEA	30170	33.8842	-118.18	
BEA	30180	33.8842	-118.169	
BEA	30190	33.8843	-118.158	
BEA	3020	33.8836	-118.342	
BEA	3030	33.8836	-118.331	
BEA	3040	33.8837	-118.32	
BEA	3050	33.8837	-118.31	
BEA	3060	33.8838	-118.299	
BEA	3070	33.8838	-118.288	
BEA	3080	33.8839	-118.277	
BEA	3090	33.8839	-118.266	
BEA	400	33.8925	-118.364	
BEA	40100	33.8929	-118.256	
BEA	4010	33.8925	-118.353	
BEA	40110	33.893	-118.245	
BEA	40120	33.893	-118.234	
BEA	40130	33.893	-118.223	
BEA	40140	33.8931	-118.212	
BEA	40150	33.8931	-118.202	
BEA	40160	33.8932	-118.191	
BEA	40170	33.8932	-118.18	
BEA	40180	33.8932	-118.169	
BEA	40190	33.8933	-118.158	
BEA	4020	33.8926	-118.342	
BEA	4030	33.8926	-118.331	
BEA	4040	33.8927	-118.321	
BEA	4050	33.8927	-118.31	
BEA	4060	33.8927	-118.299	
BEA	4070	33.8928	-118.288	
BEA	4080	33.8928	-118.277	
BEA	4090	33.8929	-118.266	
BEA	500	33.9014	-118.364	
BEA	50100	33.9019	-118.256	
BEA	5010	33.9015	-118.353	
BEA	50110	33.9019	-118.245	
BEA	50120	33.902	-118.234	
BEA	50130	33.902	-118.223	
BEA	50140	33.9021	-118.212	
BEA	50150	33.9021	-118.202	
BEA	50160	33.9021	-118.191	
BEA	50170	33.9022	-118.18	
BEA	50180	33.9022	-118.169	
BEA	50190	33.9022	-118.158	
