NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	HWB	HHN	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	HHZ	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	HNE	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	2/7/02	5/12/15	0	
AZ	HWB	HNN	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	2/7/02	5/12/15	0	
AZ	HWB	HNZ	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	2/7/02	5/12/15	0	
AZ	HWB	LHE	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	LHN	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	HWB	LHZ	--	"Hans Werner Braun Residence, S"	33.0262	-116.9596	478	4/9/03	5/12/15	0	
AZ	KNW	BHE	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	1/1/00	0	*realtime
AZ	KNW	BHN	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	1/1/00	0	*realtime
AZ	KNW	BHZ	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	3/7/93	1/1/00	0	*realtime
AZ	KNW	HHE	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	1/1/00	0	*realtime
AZ	KNW	HHN	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	1/1/00	0	*realtime
AZ	KNW	HHZ	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	12/13/92	1/1/00	0	*realtime
AZ	KNW	HLE	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	6/23/93	0	
AZ	KNW	HLN	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	6/18/93	6/23/93	0	
AZ	KNW	HLZ	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	3/7/93	6/23/93	0	
AZ	KNW	HNE	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	1/4/02	1/1/00	0	*realtime
AZ	KNW	HNN	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	1/4/02	1/1/00	0	*realtime
AZ	KNW	HNZ	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	1/4/02	1/1/00	0	*realtime
AZ	KNW	LHE	--	"Keenwild Fire Station, Mountai"	33.7141	-116.7119	1507	12/17/99	1/1/00	0	
