longitude latitude Probability(%)	
103.309330 -0.245020 10.295994
103.309330 -0.045020 13.808962
103.309330 0.154980 13.895403
103.309330 0.354980 12.934836
103.309330 1.754980 1.195246
103.309330 1.954980 0.747930
103.309330 2.154980 0.457333
103.309330 2.354980 0.280969
103.309330 2.554980 0.173203
103.309330 2.754980 0.099298
103.309330 2.954980 0.048994
