
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.24,1.393164,0.8393806,0.393,0.5234147,0.3383449,0.192,0.1711636,0.1586079,0.144,1.110271,0.3543929,0.312,0.2032937,0.210627,0.0931,0.3059667,0.1320604,0.187,0.488653,0.5649349,0.161,0.218268,0.3239827,0.176,0.1438824,0.3028998,0.129,0.1760313,0.3124944,0.078,0.337511,0.2089516,,0.4239273,0.8515042,0.21,0.3716197,0.5341144,0.195,0.5804034,0.6891491,0.172,0.1345325,0.06339725,0.0545,0.3818348,0.2747849,0.0742,0.3054817,0.1942825,0.0661,0.4600537,0.4441543,0.163,0.1453407,0.1108412,0.0854,0.2690746,0.1990947,0.0787,0.1046772,0.1453131,0.0559,0.1868877,0.2007884,0.07,0.7083971,0.6710928,0.168,0.1257016,0.1677923,0.143,0.33929,0.1857102,0.175,0.4320687,0.8034564,0.288,0.5222247,0.2578838,0.201,0.3514074,0.7688264,0.248,0.1995849,0.2506117,0.0669,0.195734,0.1275104,0.0677,0.6633132,1.047012,0.48,0.7620991,0.4199963,0.249,0.2935269,0.2081926,0.157,0.5433314,0.3605467,0.103,0.06784953,0.0456132,0.0476,0.09258023,0.1007882,0.0432,0.5393223,0.3771453,0.148,0.4945942,0.761653,0.136,0.3024772,0.4884817,0.444,0.1075442,0.08706184,0.0268,0.1426389,0.2948274,0.0583,0.1080183,0.1698949,0.0549,0.06150874,0.0573277,0.0554,0.3161722,0.1619338,0.145,0.2795527,0.4946082,0.142,0.4314933,0.4777682,0.204,0.2659685,0.1781045,0.0848,0.06644528,0.1218721,0.0473,0.3388303,0.2904775,0.46,0.5966194,0.373029,0.165,0.9370186,0.8191021,0.193,0.5449619,0.3768589,0.19,0.2353415,0.139985,0.132,0.4271725,0.4240765,0.168,0.05231635,0.07652215,0.0354,0.1548187,0.1179951,0.0501,0.4837398,0.6123401,0.191,0.4892009,0.688409,0.191,0.1043935,0.1363351,0.0583,0.320288,0.2341055,0.209,0.3428477,0.3643216,0.169,0.35991,0.4087957,0.204,0.1277812,0.06202083,,0.7018847,0.3689684,0.117,0.1632028,0.148364,0.057,0.1111168,0.09570344,0.0544,0.1298136,0.1698709,0.0543,0.1158314,0.1017776,0.0514,0.144074,0.09787986,0.0385,0.119184,0.09325259,0.0737,0.1276104,0.06232508,0.0541,0.2165901,0.1249304,0.0765,0.1301005,0.1249159,0.0779,0.2148508,0.2715044,0.168,0.3067068,0.5025401,0.125,0.1247622,0.1524532,0.065,0.2447963,0.1816047,0.133,0.530814,0.3433219,0.0811,0.255628,0.4166408,0.272,0.6782911,0.3896037,0.123,0.1298148,0.1399872,0.0683
0.25,1.246148,0.7254862,0.389,0.5779408,0.3154447,0.173,0.1879871,0.1684997,0.15,1.345952,0.3650845,0.324,0.1899096,0.1778834,0.105,0.3008487,0.1306256,0.166,0.4763484,0.5613587,0.135,0.242119,0.3348431,0.183,0.1646848,0.3619568,0.141,0.1591886,0.3043509,0.0777,0.3761436,0.1864753,,0.3579845,0.8031968,0.175,0.3267859,0.4384559,0.163,0.5845973,0.671196,0.148,0.146095,0.07112322,0.0495,0.4349432,0.3318127,0.0739,0.2996439,0.1854398,0.0587,0.410458,0.3821928,0.132,0.1494341,0.1075141,0.0933,0.3292095,0.1999298,0.0755,0.09867626,0.1181535,0.055,0.191178,0.2157996,0.0719,0.6935795,0.7312683,0.139,0.1237729,0.178757,0.13,0.3541404,0.1846562,0.155,0.4367636,0.7710039,0.259,0.5246619,0.2340953,0.185,0.4142873,0.8878608,0.255,0.231449,0.2657274,0.0763,0.1657424,0.1447365,0.0782,0.6670775,0.9973428,0.474,0.6753343,0.4060289,0.27,0.293951,0.1665466,0.192,0.4867791,0.3943383,0.0835,0.05511621,0.05098083,0.0471,0.1062445,0.1160936,0.0487,0.6101697,0.3316879,0.163,0.4358848,0.8204609,0.132,0.3178154,0.4374069,0.419,0.08010413,0.08613945,0.0252,0.1741133,0.2404751,0.0548,0.105318,0.1316855,0.0627,0.06220284,0.05695741,0.0492,0.3358585,0.1768776,0.136,0.2541255,0.51238,0.154,0.4567899,0.4165011,0.159,0.2290207,0.1872481,0.0777,0.06546365,0.1262789,0.044,0.3941713,0.2752811,0.523,0.5931388,0.4144851,0.174,0.7479244,0.6510677,0.169,0.4856946,0.3312192,0.196,0.2317045,0.1259138,0.132,0.3816943,0.3641239,0.165,0.05862337,0.07101759,0.0406,0.1432359,0.1016566,0.0507,0.519412,0.637968,0.157,0.5283681,0.7740292,0.175,0.1087013,0.1272501,0.0591,0.3016904,0.2439218,0.207,0.3270379,0.4035942,0.176,0.3760683,0.4062548,0.187,0.1250855,0.06782892,,0.6995161,0.3829356,0.116,0.1720551,0.1689378,0.0465,0.1236051,0.1017143,0.0526,0.1126953,0.1399881,0.0488,0.09467616,0.0994644,0.0599,0.1440634,0.1082585,0.0327,0.1203418,0.08242007,0.0767,0.111563,0.06750274,0.0456,0.1703209,0.132367,0.0789,0.138361,0.141459,0.073,0.1938716,0.2085232,0.143,0.30834,0.5198812,0.126,0.1395996,0.1597823,0.0579,0.2336519,0.1798124,0.126,0.5420262,0.322245,0.0761,0.2746935,0.3968482,0.248,0.6701231,0.3498713,0.135,0.1243543,0.1314269,0.0771
0.26,1.07073,0.6252409,0.369,0.6320387,0.3458897,0.21,0.1999605,0.1558281,0.154,1.454779,0.4125296,0.387,0.190906,0.153715,0.109,0.287968,0.1223994,0.159,0.4623498,0.5365124,0.127,0.2338754,0.3649855,0.169,0.177061,0.3815019,0.152,0.1487442,0.3031512,0.0855,0.4041226,0.2018049,,0.3524263,0.7808692,0.159,0.2967491,0.3767062,0.155,0.5833899,0.6312387,0.13,0.1332784,0.07409649,0.045,0.4607398,0.4102512,0.079,0.283435,0.1770756,0.06,0.3699048,0.3862546,0.126,0.1426468,0.0975007,0.0819,0.3295099,0.2059866,0.0675,0.09994733,0.120295,0.0592,0.2405088,0.214586,0.0619,0.664754,0.699778,0.119,0.1315694,0.1897875,0.137,0.3635003,0.1937438,0.138,0.4244407,0.7428327,0.262,0.5173883,0.2862971,0.16,0.4627937,0.887816,0.292,0.2794727,0.2868758,0.0876,0.1568629,0.1537756,0.0842,0.7516753,0.9033141,0.456,0.5867714,0.3980519,0.298,0.2917634,0.1629872,0.219,0.4752561,0.4147163,0.0855,0.04470498,0.0575928,0.0442,0.1148755,0.1309767,0.0575,0.5907583,0.3202414,0.145,0.4654914,0.8190824,0.128,0.3712606,0.3851638,0.347,0.0796259,0.08256607,0.0256,0.1755963,0.1813271,0.0524,0.1054026,0.1254668,0.0708,0.07513862,0.05536004,0.0422,0.3568786,0.1777357,0.125,0.219574,0.4826214,0.166,0.4828131,0.4449455,0.127,0.2012497,0.1729437,0.0673,0.05844554,0.1341445,0.0584,0.4087265,0.296742,0.553,0.5560825,0.4303728,0.178,0.72536,0.7529914,0.208,0.440165,0.2870285,0.17,0.2488194,0.1322451,0.107,0.4099075,0.3327382,0.145,0.06060293,0.06759159,0.0477,0.1293422,0.1026946,0.0477,0.5781476,0.5507143,0.145,0.546147,0.8254623,0.169,0.1010241,0.1227752,0.0623,0.2862304,0.2723687,0.184,0.325148,0.4060303,0.185,0.3951831,0.3867194,0.143,0.1202329,0.07296289,,0.7265695,0.3797081,0.112,0.17788,0.1939167,0.0524,0.1187185,0.1003969,0.053,0.1287346,0.1324506,0.046,0.07866808,0.09945712,0.0648,0.1511716,0.1266248,0.0313,0.129511,0.08627293,0.075,0.09438305,0.07090569,0.0513,0.1480018,0.1400408,0.0969,0.1223931,0.1861954,0.0615,0.1703597,0.1932785,0.117,0.3093194,0.5328354,0.141,0.1626375,0.1707157,0.0512,0.2088001,0.1800378,0.124,0.5474088,0.3512991,0.0698,0.2864507,0.3614553,0.254,0.6701255,0.2870965,0.145,0.1217515,0.1112239,0.0763
0.28,0.801375,0.5771023,0.261,0.6869631,0.3945885,0.176,0.1668788,0.1987303,0.158,1.461469,0.4365783,0.437,0.2343507,0.1536818,0.104,0.3012682,0.1133968,0.113,0.4083177,0.4579996,0.132,0.2068775,0.4249707,0.124,0.1797308,0.4195498,0.122,0.167254,0.2408949,0.0829,0.3714212,0.2379846,,0.4228891,0.7930858,0.128,0.2439517,0.2962692,0.135,0.603532,0.5755632,0.126,0.1370706,0.07625379,0.051,0.464819,0.5364673,0.0845,0.2900048,0.2081014,0.059,0.3901535,0.319242,0.126,0.1043538,0.09261117,0.0452,0.3262625,0.1939971,0.0778,0.09257715,0.1086694,0.076,0.2875723,0.2237514,0.0644,0.7129762,0.4809809,0.117,0.1835318,0.2462175,0.162,0.3963521,0.2222705,0.159,0.4654331,0.807738,0.206,0.5229779,0.2941597,0.122,0.3782405,0.8793238,0.306,0.3444572,0.3967728,0.101,0.1443451,0.1536683,0.0697,0.7196673,0.9489098,0.389,0.4395584,0.3898264,0.339,0.3030092,0.1987242,0.194,0.5451457,0.3300515,0.0983,0.04885832,0.06290843,0.0416,0.113488,0.138684,0.0499,0.5269347,0.3207812,0.128,0.4818394,0.5705688,0.126,0.4378551,0.3603321,0.26,0.07701387,0.07567064,0.0258,0.1540743,0.1620837,0.0384,0.07451995,0.1560332,0.0602,0.09654992,0.05269467,0.0461,0.3349979,0.2038502,0.0845,0.2239815,0.3909078,0.156,0.5038022,0.4891661,0.118,0.244133,0.2178556,0.0613,0.06644137,0.1304803,0.0709,0.3116501,0.2753414,0.448,0.6553482,0.3397453,0.146,0.7091001,0.7262121,0.226,0.4606969,0.4222363,0.112,0.2257574,0.1368178,0.0659,0.3643826,0.3601601,0.125,0.0641288,0.06761414,0.0681,0.1252912,0.1013641,0.0504,0.6708891,0.4162852,0.142,0.5566528,0.7934616,0.157,0.09280636,0.1356636,0.0632,0.2257228,0.3267553,0.162,0.3878862,0.359512,0.136,0.4100874,0.3350177,0.142,0.1146711,0.07515472,,0.7954652,0.3847153,0.0792,0.1485969,0.2288756,0.0559,0.1310796,0.112782,0.0532,0.1792229,0.1802005,0.0559,0.07986789,0.1057582,0.0717,0.152176,0.1369018,0.0378,0.1280494,0.1063268,0.0582,0.1014549,0.08599979,0.0713,0.1419392,0.1400904,0.112,0.1060745,0.1819974,0.0468,0.1897449,0.1565507,0.089,0.2858077,0.5834822,0.154,0.1464663,0.1838356,0.061,0.2418405,0.2051357,0.127,0.5640591,0.2513474,0.0658,0.2628717,0.312481,0.198,0.6278136,0.3820436,0.143,0.1072353,0.1130841,0.0602
0.29,0.7239224,0.5989522,0.246,0.6826163,0.4084635,0.144,0.17529,0.1888571,0.145,1.366267,0.4678512,0.369,0.2652945,0.1647004,0.104,0.3148441,0.1239037,0.091,0.3729098,0.4021851,0.133,0.2010646,0.4234626,0.115,0.1719969,0.4216349,0.138,0.1737586,0.2505916,0.0793,0.3636236,0.2587433,,0.4264877,0.7685812,0.108,0.2257333,0.2804894,0.145,0.6488431,0.6042515,0.11,0.158315,0.08321482,0.0496,0.5271365,0.4957136,0.0869,0.3292873,0.2254901,0.0575,0.4418203,0.274075,0.154,0.1019215,0.07622042,0.0445,0.3708509,0.2238519,0.0758,0.0892192,0.09669422,0.0752,0.2691766,0.2004421,0.0666,0.7080337,0.4676012,0.115,0.1960116,0.2497888,0.178,0.3730048,0.2087424,0.188,0.479842,0.8720195,0.182,0.5273554,0.257098,0.119,0.3545449,0.9817225,0.279,0.3496485,0.417282,0.108,0.1276265,0.1751364,0.0597,0.6044052,0.9620637,0.346,0.4169081,0.3728901,0.371,0.2724475,0.205576,0.184,0.5626437,0.3339343,0.102,0.04849271,0.06477953,0.042,0.1037684,0.1341912,0.0545,0.4739319,0.3308519,0.12,0.4698675,0.602983,0.137,0.4083423,0.3910897,0.227,0.07213241,0.05891991,0.0305,0.1491098,0.152504,0.0383,0.07219468,0.1466484,0.0549,0.1077869,0.05572167,0.0458,0.2915418,0.239802,0.0894,0.2238766,0.3446656,0.183,0.4677044,0.4850436,0.131,0.2578026,0.2048961,0.0571,0.07187168,0.1308884,0.062,0.2656065,0.2609505,0.339,0.6359696,0.2886942,0.118,0.7376813,0.6115511,0.242,0.4474691,0.4508232,0.102,0.2721733,0.1612024,0.0637,0.3368881,0.3600687,0.106,0.07260824,0.07223163,0.0714,0.1248397,0.113045,0.0473,0.6740877,0.3881409,0.132,0.5351259,0.6760299,0.152,0.09453401,0.1280028,0.0611,0.2217461,0.3216089,0.134,0.42385,0.3366678,0.129,0.3909273,0.3244353,0.129,0.1173504,0.07485157,,0.7460545,0.3991292,0.0716,0.1479831,0.2345503,0.0585,0.1416887,0.1333582,0.0451,0.1750265,0.1775406,0.0558,0.09849093,0.107447,0.079,0.1415416,0.1295349,0.0394,0.1272552,0.1169237,0.0611,0.1084536,0.09512009,0.0756,0.1507385,0.1411472,0.112,0.1133449,0.1670785,0.0452,0.1672024,0.1466414,0.0817,0.3074068,0.6240216,0.144,0.13328,0.1928311,0.061,0.250586,0.2083041,0.108,0.5820282,0.216131,0.0693,0.258981,0.3048059,0.19,0.6144547,0.4021991,0.134,0.09939856,0.1180197,0.0457
0.3,0.7107251,0.6430753,0.277,0.6595407,0.4024515,0.135,0.1854696,0.1559971,0.12,1.264392,0.4659585,0.303,0.2425427,0.1910694,0.0969,0.3173044,0.1367199,0.0756,0.325239,0.4034035,0.129,0.18632,0.4054219,0.115,0.1767085,0.4092468,0.133,0.1747431,0.2579669,0.0767,0.346673,0.2862718,,0.4638786,0.7570523,0.102,0.1965543,0.2585212,0.148,0.6853917,0.6395105,0.116,0.1473404,0.07825466,0.0486,0.5330155,0.4857503,0.0855,0.3785791,0.2356988,0.0595,0.4628572,0.2448091,0.187,0.1140836,0.06998882,0.0468,0.4021609,0.2373236,0.0847,0.08992433,0.09479157,0.0706,0.2424486,0.1588103,0.0677,0.7174118,0.5317894,0.106,0.2064891,0.2628959,0.184,0.3365617,0.2157778,0.191,0.4801795,0.9117212,0.167,0.5189354,0.2233528,0.128,0.3099802,1.087729,0.261,0.3414639,0.4136262,0.113,0.1126147,0.1787012,0.0545,0.4716867,0.9113594,0.3,0.4364261,0.3539756,0.397,0.24482,0.2261745,0.17,0.5524515,0.3184724,0.111,0.05680373,0.07002463,0.0423,0.0865817,0.1311404,0.0575,0.4161211,0.3725891,0.136,0.4853257,0.617103,0.129,0.385543,0.3469118,0.207,0.0609735,0.05718587,0.032,0.1487376,0.1651646,0.0419,0.07820276,0.1403508,0.0565,0.1196452,0.05595514,0.0414,0.2543144,0.2625865,0.0893,0.225742,0.2963606,0.192,0.4479088,0.4666478,0.137,0.2869343,0.1799351,0.0535,0.06836441,0.1303292,0.0524,0.2505848,0.2609451,0.251,0.6765785,0.2556462,0.111,0.739916,0.5547872,0.259,0.4545777,0.4072383,0.0936,0.3054964,0.174526,0.0641,0.3336261,0.3541071,0.0865,0.07503843,0.07503237,0.0667,0.1158453,0.1233623,0.0413,0.6608223,0.3613479,0.119,0.4871775,0.5880139,0.145,0.08718351,0.1198766,0.0616,0.2364569,0.3104552,0.109,0.4523735,0.3179339,0.149,0.3651928,0.3604546,0.118,0.1170331,0.07430848,,0.6544318,0.4036689,0.0643,0.1664028,0.2352944,0.0565,0.1764644,0.1551991,0.0459,0.1766811,0.1607243,0.0601,0.1255355,0.1156554,0.0793,0.1259851,0.1171053,0.0395,0.1397029,0.1224152,0.0597,0.1116669,0.1050356,0.0922,0.169889,0.1383239,0.102,0.1106697,0.1612965,0.0527,0.1296902,0.1401423,0.0741,0.3243476,0.6328861,0.124,0.119126,0.1978714,0.0554,0.2394034,0.2078347,0.095,0.5697225,0.2013775,0.0707,0.2526447,0.2737823,0.195,0.5765168,0.3790452,0.124,0.09972358,0.1158436,0.0444
0.32,0.7172949,0.7397895,0.302,0.5752915,0.3595421,0.175,0.19327,0.1673967,0.0858,1.031479,0.3040337,0.261,0.1725142,0.2255257,0.109,0.2822116,0.1610369,0.067,0.3028132,0.3924381,0.124,0.1853169,0.382284,0.148,0.1964343,0.3409266,0.103,0.186974,0.2439152,0.067,0.3175607,0.3085511,,0.4395695,0.7136903,0.135,0.1518549,0.2516298,0.152,0.6903915,0.6168221,0.103,0.1231044,0.05617138,0.0541,0.3469622,0.5291224,0.073,0.4449871,0.283272,0.0736,0.4129389,0.2222356,0.156,0.116001,0.07008334,0.0465,0.3449979,0.2316718,0.0638,0.09059109,0.09044842,0.0917,0.258812,0.1559689,0.0664,0.767944,0.5767255,0.111,0.2017485,0.3012637,0.168,0.3661063,0.2105036,0.135,0.4517912,0.9736091,0.141,0.469788,0.2128818,0.16,0.2566973,1.120979,0.211,0.2926553,0.3710729,0.11,0.117222,0.1403089,0.0447,0.4828961,0.8621846,0.214,0.4868388,0.358712,0.432,0.245416,0.2363791,0.111,0.5303921,0.2927722,0.117,0.05811734,0.08761413,0.0487,0.07037567,0.1292545,0.0462,0.3111592,0.4773239,0.126,0.6113165,0.6993405,0.134,0.4247624,0.4122068,0.175,0.06745613,0.08188897,0.0255,0.1388785,0.2000926,0.0406,0.09316154,0.1216102,0.056,0.1395554,0.05175695,0.042,0.234094,0.2686508,0.0969,0.2749043,0.2431039,0.186,0.5167825,0.4506499,0.119,0.3080956,0.1758421,0.056,0.08207093,0.1219158,0.0533,0.2484174,0.2811355,0.174,0.5959163,0.2230361,0.136,0.6778648,0.4814334,0.216,0.5124569,0.3467323,0.106,0.2825231,0.1725985,0.0483,0.3600363,0.3146315,0.0713,0.0735436,0.07767405,0.0531,0.08224239,0.1409164,0.0306,0.6268818,0.3120944,0.119,0.3642589,0.4783182,0.118,0.06853125,0.09374883,0.0483,0.2546552,0.3073051,0.134,0.4882649,0.2757358,0.182,0.3660519,0.400468,0.0956,0.11933,0.07657442,,0.5737864,0.4596046,0.0639,0.1478882,0.2188199,0.0459,0.1864751,0.1471348,0.047,0.1894716,0.1358728,0.0728,0.130805,0.1063876,0.0689,0.1144274,0.09699414,0.0336,0.147342,0.125902,0.0644,0.1081849,0.1176252,0.0872,0.1701067,0.1365595,0.0709,0.1064432,0.1564736,0.0489,0.1174913,0.1455767,0.0758,0.3354126,0.5980587,0.125,0.08537684,0.2039965,0.0492,0.2367684,0.2001662,0.1,0.4983681,0.1980644,0.0584,0.1959328,0.3095653,0.154,0.4191715,0.3528076,0.101,0.08823659,0.1057355,0.0426
0.34,0.7056769,0.795216,0.277,0.5515046,0.3015372,0.181,0.1805665,0.1879354,0.0786,0.8801036,0.2607985,0.256,0.1343602,0.1874866,0.0931,0.3407064,0.182758,0.0705,0.298478,0.3717477,0.0934,0.1782738,0.3502279,0.177,0.2096578,0.3167518,0.0819,0.1464197,0.1992139,0.0672,0.3085529,0.2892661,,0.4033682,0.7087553,0.129,0.159037,0.3086003,0.151,0.6506001,0.5893413,0.0889,0.1139034,0.04057923,0.0475,0.30958,0.4608476,0.0622,0.4815565,0.3340935,0.0738,0.3405034,0.1763526,0.0994,0.1067412,0.06844118,0.0463,0.2738156,0.2161616,0.0622,0.1121973,0.1309958,0.1,0.2955581,0.172399,0.0842,0.6931596,0.3964444,0.0869,0.2170161,0.3260175,0.19,0.4536563,0.2000499,0.131,0.4125209,1.091341,0.114,0.5411496,0.2404194,0.157,0.2451206,0.928964,0.172,0.2348046,0.3071789,0.0843,0.124229,0.1036265,0.0409,0.5070391,0.9025809,0.168,0.5200465,0.3277625,0.409,0.2218561,0.1737223,0.0764,0.5124809,0.2724057,0.129,0.04822312,0.07957176,0.0368,0.06187076,0.1228481,0.0358,0.2553909,0.4792777,0.0808,0.5667811,0.825134,0.147,0.439819,0.4708341,0.165,0.06784726,0.09772097,0.0227,0.1261108,0.2414284,0.0514,0.1213193,0.1395308,0.0505,0.1463316,0.04657613,0.0351,0.2547971,0.2553867,0.116,0.2963786,0.1897018,0.168,0.4892441,0.460399,0.15,0.2211281,0.1515276,0.0718,0.08194219,0.1157067,0.0506,0.304963,0.2808869,0.153,0.5651842,0.2057659,0.134,0.5433784,0.4614078,0.178,0.4285687,0.2867085,0.0843,0.2918514,0.1761077,0.0431,0.4010498,0.2301791,0.0587,0.06425922,0.07845033,0.0475,0.0803955,0.1360921,0.0295,0.6366552,0.2613602,0.086,0.2915304,0.3956968,0.0968,0.06163372,0.07924435,0.0425,0.2733977,0.3164293,0.135,0.500066,0.240656,0.196,0.3343583,0.4417987,0.106,0.1265109,0.08298887,,0.5069096,0.4708833,0.0628,0.1423738,0.1869324,0.0337,0.1577321,0.1153115,0.0455,0.1565912,0.1285647,0.077,0.0956371,0.09668302,0.0636,0.0963789,0.08038089,0.0283,0.1510199,0.1172007,0.0645,0.1014409,0.1250673,0.0753,0.1469376,0.1541663,0.0655,0.1103339,0.1682754,0.0494,0.1065159,0.1697384,0.0791,0.3849491,0.545301,0.131,0.09005325,0.1745041,0.0465,0.2637987,0.1928799,0.102,0.4125243,0.2313536,0.0513,0.1946988,0.2824685,0.115,0.4011264,0.2476384,0.0932,0.08806019,0.1034073,0.0351
0.35,0.6867477,0.7975668,0.258,0.5333744,0.2683593,0.155,0.1751411,0.1843252,0.0733,0.8776543,0.2423592,0.251,0.1328578,0.1715815,0.0876,0.3818918,0.200342,0.0623,0.3030823,0.3498601,0.0908,0.1612737,0.323064,0.16,0.2384543,0.3011089,0.0732,0.1348399,0.1927136,0.0592,0.2800208,0.2835962,,0.3774866,0.6581828,0.134,0.1538339,0.3374587,0.168,0.6170787,0.5255221,0.0941,0.09490458,0.04165393,0.0416,0.2956924,0.4750693,0.0677,0.4539776,0.3560559,0.0775,0.3141988,0.1954553,0.0833,0.1013379,0.06021313,0.0463,0.261938,0.2041984,0.0551,0.1059797,0.1438281,0.0891,0.2869467,0.2039529,0.0914,0.6814888,0.3478167,0.0769,0.2298533,0.3191832,0.201,0.5257379,0.2082812,0.13,0.395115,1.087191,0.104,0.5473145,0.2412409,0.152,0.2603287,0.8269845,0.159,0.218413,0.2927422,0.0726,0.1247772,0.09571501,0.0403,0.4931908,0.857711,0.169,0.5166266,0.3145746,0.384,0.1999397,0.1497815,0.0701,0.5117872,0.2423024,0.121,0.04246516,0.07125461,0.0311,0.06234048,0.1068227,0.0336,0.2250678,0.4350481,0.0778,0.5232413,0.8065721,0.152,0.4213583,0.4513575,0.16,0.06463334,0.09716823,0.0268,0.1356026,0.2483472,0.0574,0.1309715,0.1446511,0.0487,0.1446002,0.04939136,0.0293,0.265688,0.2476494,0.102,0.3128009,0.1989944,0.15,0.4489169,0.4648474,0.161,0.2118158,0.1361592,0.0755,0.07648329,0.1124123,0.0518,0.3178165,0.2998121,0.147,0.5717368,0.1944177,0.119,0.5277478,0.4594522,0.178,0.3567803,0.2398792,0.0776,0.2911698,0.1844361,0.0432,0.3971058,0.2195373,0.0608,0.05977929,0.07820165,0.0455,0.08348192,0.1232905,0.028,0.60659,0.2566898,0.0738,0.2695484,0.3701297,0.0854,0.06484234,0.07825434,0.0423,0.273644,0.3093085,0.116,0.4953376,0.2324637,0.18,0.3380324,0.449755,0.114,0.1245715,0.09312068,,0.4731868,0.4330795,0.0656,0.1546204,0.1717276,0.0314,0.1372367,0.1162636,0.0398,0.145619,0.1363644,0.0782,0.08242477,0.09405311,0.0592,0.09511875,0.07565884,0.0271,0.1323985,0.1194169,0.0591,0.1109647,0.1095069,0.0744,0.1554703,0.1632844,0.078,0.10422,0.1704631,0.0477,0.1089916,0.1869749,0.0794,0.3722839,0.533569,0.124,0.09480793,0.1702843,0.0437,0.2719162,0.1970979,0.0921,0.3803619,0.2486709,0.0505,0.20324,0.3052562,0.12,0.4406167,0.1977746,0.0995,0.08364077,0.1030446,0.029
0.36,0.6584024,0.7829819,0.269,0.5157288,0.2351924,0.126,0.1661564,0.1739913,0.0804,0.8510237,0.2656193,0.243,0.13086,0.164858,0.0881,0.4108347,0.2114096,0.0577,0.3170086,0.3443713,0.0979,0.135632,0.2994418,0.13,0.2682715,0.2779255,0.0699,0.1258747,0.1895577,0.0614,0.3024906,0.2908424,,0.3424084,0.5950967,0.144,0.1455185,0.3536408,0.191,0.5753285,0.4579386,0.112,0.07125505,0.03802457,0.0415,0.2789901,0.4717574,0.0657,0.4340033,0.3716682,0.0799,0.2983638,0.2170955,0.0748,0.09139533,0.05355972,0.0411,0.2430122,0.1955384,0.0577,0.09046212,0.1439341,0.0721,0.2695547,0.223581,0.0861,0.6671875,0.3198699,0.0721,0.207513,0.2991397,0.194,0.5723498,0.2030121,0.118,0.3830303,1.056257,0.103,0.5297641,0.2320682,0.145,0.269489,0.7432454,0.146,0.2037001,0.2743657,0.0648,0.1180957,0.09981097,0.0453,0.4815787,0.7507737,0.169,0.4991802,0.2977137,0.354,0.1703207,0.1416901,0.064,0.5055368,0.2178915,0.0966,0.0406878,0.06218165,0.0282,0.06379021,0.09025182,0.0321,0.2123342,0.3908558,0.0739,0.5072916,0.7317666,0.158,0.421765,0.413863,0.136,0.05862515,0.09076132,0.028,0.1438496,0.2500492,0.0572,0.134266,0.1474338,0.0453,0.1403095,0.05321395,0.0264,0.2719102,0.2402382,0.0859,0.3374778,0.2023093,0.131,0.4363266,0.4627881,0.151,0.2122807,0.1401945,0.0727,0.07697676,0.1021728,0.0505,0.3217976,0.3301288,0.161,0.5447481,0.1938521,0.106,0.5436824,0.4843924,0.174,0.2996656,0.211722,0.0736,0.271527,0.1764491,0.0393,0.3744956,0.2195176,0.0676,0.0551328,0.07708662,0.0413,0.08361516,0.1098383,0.0302,0.5583807,0.2720682,0.072,0.2569354,0.3521562,0.077,0.07218345,0.07630528,0.0436,0.2623405,0.291027,0.0992,0.4866339,0.2404183,0.153,0.3126772,0.458385,0.114,0.1235494,0.08998016,,0.4418018,0.377182,0.0642,0.1582409,0.156442,0.0292,0.1244493,0.1128426,0.0379,0.1257426,0.1351116,0.0722,0.06754757,0.0927835,0.0529,0.09400532,0.07180922,0.026,0.1082803,0.1122139,0.049,0.1091626,0.09909558,0.0707,0.179041,0.1746186,0.0863,0.09423177,0.1645721,0.0503,0.1131401,0.1807252,0.0818,0.350226,0.5275503,0.112,0.08832619,0.1643902,0.0392,0.2498679,0.2028026,0.0773,0.3499923,0.2445139,0.0484,0.2108366,0.3333031,0.119,0.4596221,0.1626755,0.111,0.07778534,0.1016503,0.0252
