
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
24, RotD50, 612, -, 1.0, -, 7.6, 19.6, 0.1, "Whittier Narrows-01", 1987, "Covina - S Grand Ave", 5.99, Reverse Oblique, 13.58, 20.91, 346.62, 0.13, 1.0, RSN612_WHITTIER.A_A-GRA015.AT2, RSN612_WHITTIER.A_A-GRA105.AT2 , RSN612_WHITTIER.A_A-GRA-UP.AT2  
25, RotD50, 613, -, 1.0, -, 6.2, 15.3, 0.2, "Whittier Narrows-01", 1987, "Covina - W Badillo", 5.99, Reverse Oblique, 9.49, 18.59, 324.79, 0.15, 1.0, RSN613_WHITTIER.A_A-BAD000.AT2, RSN613_WHITTIER.A_A-BAD270.AT2 , RSN613_WHITTIER.A_A-BAD-UP.AT2  
26, RotD50, 614, -, 1.0, -, 1.9, 9.6, 1.0, "Whittier Narrows-01", 1987, "Downey - Birchdale", 5.99, Reverse Oblique, 14.9, 20.79, 245.06, 0.13, 1.0, RSN614_WHITTIER.A_A-BIR090.AT2, RSN614_WHITTIER.A_A-BIR180.AT2 , RSN614_WHITTIER.A_A-BIR-UP.AT2  
27, RotD50, 615, -, 1.0, -, 4.3, 12.4, 0.4, "Whittier Narrows-01", 1987, "Downey - Co Maint Bldg", 5.99, Reverse Oblique, 14.95, 20.82, 271.9, 0.25, 1.0, RSN615_WHITTIER.A_A-DWN180.AT2, RSN615_WHITTIER.A_A-DWN270.AT2 , RSN615_WHITTIER.A_A-DWN-UP.AT2  
28, RotD50, 616, -, 1.0, -, 4.2, 11.4, 0.5, "Whittier Narrows-01", 1987, "El Monte - Fairview Av", 5.99, Reverse Oblique, 0.75, 15.67, 290.63, 0.15, 1.0, RSN616_WHITTIER.A_A-FAI095.AT2, RSN616_WHITTIER.A_A-FAI185.AT2 , RSN616_WHITTIER.A_A-FAI-UP.AT2  
29, RotD50, 617, -, 1.0, -, 3.9, 9.2, 0.1, "Whittier Narrows-01", 1987, "Featherly Park - Maint", 5.99, Reverse Oblique, 35.04, 37.92, 367.54, 0.75, 1.0, RSN617_WHITTIER.A_A-FEA000.AT2, RSN617_WHITTIER.A_A-FEA090.AT2 , RSN617_WHITTIER.A_A-FEA-UP.AT2  
30, RotD50, 618, -, 1.0, -, 9.9, 18.2, 0.1, "Whittier Narrows-01", 1987, "Fountain Valley - Euclid", 5.99, Reverse Oblique, 36.69, 39.45, 270.54, 0.6, 1.0, RSN618_WHITTIER.A_A-EUC022.AT2, RSN618_WHITTIER.A_A-EUC292.AT2 , RSN618_WHITTIER.A_A-EUC-UP.AT2  
31, RotD50, 619, -, 1.0, -, 2.5, 5.6, 1.2, "Whittier Narrows-01", 1987, "Garvey Res. - Control Bldg", 5.99, Reverse Oblique, 0.36, 14.5, 468.18, 0.375, 1.0, RSN619_WHITTIER.A_A-GRV060.AT2, RSN619_WHITTIER.A_A-GRV330.AT2 , RSN619_WHITTIER.A_A-GRV-UP.AT2  
32, RotD50, 620, -, 1.0, -, 2.9, 7.4, 0.4, "Whittier Narrows-01", 1987, "Glendale - Las Palmas", 5.99, Reverse Oblique, 14.68, 22.82, 371.07, 0.4, 1.0, RSN620_WHITTIER.A_A-GLP177.AT2, RSN620_WHITTIER.A_A-GLP267.AT2 , RSN620_WHITTIER.A_A-GLP-UP.AT2  
33, RotD50, 621, -, 1.0, -, 4.1, 12.7, 0.1, "Whittier Narrows-01", 1987, "Glendora - N Oakbank", 5.99, Reverse Oblique, 13.67, 22.11, 362.31, 0.5, 1.0, RSN621_WHITTIER.A_A-OAK080.AT2, RSN621_WHITTIER.A_A-OAK170.AT2 , RSN621_WHITTIER.A_A-OAK-UP.AT2  
34, RotD50, 622, -, 1.0, -, 3.2, 11.4, 0.2, "Whittier Narrows-01", 1987, "Hacienda Heights - Colima", 5.99, Reverse Oblique, 9.6, 17.39, 337.0, 0.2, 1.0, RSN622_WHITTIER.A_A-COM140.AT2, RSN622_WHITTIER.A_A-COM230.AT2 , RSN622_WHITTIER.A_A-COM-UP.AT2  
35, RotD50, 623, -, 1.0, -, 11.5, 20.4, 0.0, "Whittier Narrows-01", 1987, "Hemet Fire Station", 5.99, Reverse Oblique, 102.88, 103.9, 328.09, 0.375, 1.0, RSN623_WHITTIER.A_A-H05270.AT2, RSN623_WHITTIER.A_A-H05360.AT2 , RSN623_WHITTIER.A_A-H05-UP.AT2  
36, RotD50, 624, -, 1.0, -, 11.1, 23.2, 0.0, "Whittier Narrows-01", 1987, "Huntington Beach - Lake St", 5.99, Reverse Oblique, 42.16, 44.58, 315.52, 0.25, 1.0, RSN624_WHITTIER.A_A-HNT270.AT2, RSN624_WHITTIER.A_A-HNT360.AT2 , RSN624_WHITTIER.A_A-HNT-UP.AT2  
37, RotD50, 625, -, 1.0, -, 1.9, 11.2, 0.5, "Whittier Narrows-01", 1987, "Inglewood - Union Oil", 5.99, Reverse Oblique, 21.41, 25.86, 316.02, 0.175, 1.0, RSN625_WHITTIER.A_A-ING000.AT2, RSN625_WHITTIER.A_A-ING090.AT2 , RSN625_WHITTIER.A_A-ING-UP.AT2  
38, RotD50, 626, -, 1.0, -, 1.8, 9.5, 0.9, "Whittier Narrows-01", 1987, "LA - 116th St School", 5.99, Reverse Oblique, 18.23, 23.29, 301.0, 0.1625, 1.0, RSN626_WHITTIER.A_A-116270.AT2, RSN626_WHITTIER.A_A-116360.AT2 , RSN626_WHITTIER.A_A-116-UP.AT2  
39, RotD50, 627, -, 1.0, -, 3.9, 14.4, 0.3, "Whittier Narrows-01", 1987, "LA - Baldwin Hills", 5.99, Reverse Oblique, 21.51, 25.94, 297.07, 0.2875, 1.0, RSN627_WHITTIER.A_A-BLD000.AT2, RSN627_WHITTIER.A_A-BLD090.AT2 , RSN627_WHITTIER.A_A-BLD-UP.AT2  
40, RotD50, 628, -, 1.0, -, 7.4, 14.6, 0.1, "Whittier Narrows-01", 1987, "LA - Centinela St", 5.99, Reverse Oblique, 28.0, 31.53, 321.91, 0.22, 1.0, RSN628_WHITTIER.A_A-CEN155.AT2, RSN628_WHITTIER.A_A-CEN245.AT2 , RSN628_WHITTIER.A_A-CEN-UP.AT2  
41, RotD50, 629, -, 1.0, -, 6.3, 17.0, 0.2, "Whittier Narrows-01", 1987, "LA - Century City CC North", 5.99, Reverse Oblique, 26.14, 29.89, 277.98, 0.2875, 1.0, RSN629_WHITTIER.A_A-CCN000.AT2, RSN629_WHITTIER.A_A-CCN090.AT2 , RSN629_WHITTIER.A_A-CCN-UP.AT2  
42, RotD50, 630, -, 1.0, -, 7.4, 20.1, 0.1, "Whittier Narrows-01", 1987, "LA - Century City CC South", 5.99, Reverse Oblique, 25.95, 29.73, 277.98, 0.25, 1.0, RSN630_WHITTIER.A_A-CTS000.AT2, RSN630_WHITTIER.A_A-CTS090.AT2 , RSN630_WHITTIER.A_A-CTS-UP.AT2  
43, RotD50, 631, -, 1.0, -, 5.6, 11.6, 0.0, "Whittier Narrows-01", 1987, "LA - Chalon Rd", 5.99, Reverse Oblique, 32.11, 35.23, 740.05, 0.4, 1.0, RSN631_WHITTIER.A_A-CHL030.AT2, RSN631_WHITTIER.A_A-CHL120.AT2 , RSN631_WHITTIER.A_A-CHL-UP.AT2  
44, RotD50, 632, -, 1.0, -, 3.1, 9.7, 0.2, "Whittier Narrows-01", 1987, "LA - Cypress Ave", 5.99, Reverse Oblique, 8.56, 16.97, 366.71, 0.3, 1.0, RSN632_WHITTIER.A_A-CYP053.AT2, RSN632_WHITTIER.A_A-CYP143.AT2 , RSN632_WHITTIER.A_A-CYP-UP.AT2  
45, RotD50, 633, -, 1.0, -, 5.6, 11.8, 0.2, "Whittier Narrows-01", 1987, "LA - E Vernon Ave", 5.99, Reverse Oblique, 10.5, 17.91, 283.14, 0.14, 1.0, RSN633_WHITTIER.A_A-VER083.AT2, RSN633_WHITTIER.A_A-VER173.AT2 , RSN633_WHITTIER.A_A-VER-UP.AT2  
46, RotD50, 634, -, 1.0, -, 2.9, 7.6, 0.4, "Whittier Narrows-01", 1987, "LA - Fletcher Dr", 5.99, Reverse Oblique, 11.07, 18.86, 329.06, 0.33, 1.0, RSN634_WHITTIER.A_A-FLE144.AT2, RSN634_WHITTIER.A_A-FLE234.AT2 , RSN634_WHITTIER.A_A-FLE-UP.AT2  
