longitude latitude PGA(g)	
100.709330 0.554980 0.145407
100.709330 0.754980 0.144159
100.709330 0.954980 0.143012
100.709330 1.154980 0.142133
100.709330 1.354980 0.141330
100.709330 1.554980 0.140610
100.709330 1.754980 0.139935
100.709330 1.954980 0.139309
100.709330 3.954980 0.129172
100.709330 4.154980 0.113185
100.709330 4.354980 0.095387
100.709330 4.554980 0.078427
100.709330 4.754980 0.064539
100.709330 4.954980 0.053263
100.709330 5.154980 0.044389
100.709330 5.354980 0.036718
100.709330 5.554980 0.030631
100.709330 5.754980 0.025469
100.709330 5.954980 0.022191
100.709330 6.154980 0.019042
100.709330 6.354980 0.016193
100.909330 -2.245020 0.255686
100.909330 -2.045020 0.229628
100.909330 -1.845020 0.215989
100.909330 -1.645020 0.198849
100.909330 -1.445020 0.185086
100.909330 -1.245020 0.176656
100.909330 -1.045020 0.167692
100.909330 -0.845020 0.160994
100.909330 -0.645020 0.156130
100.909330 -0.445020 0.153574
100.909330 -0.245020 0.151282
100.909330 -0.045020 0.149292
100.909330 0.154980 0.147065
100.909330 0.354980 0.145589
100.909330 0.554980 0.144444
100.909330 0.754980 0.143560
100.909330 0.954980 0.142777
100.909330 1.154980 0.142074
100.909330 1.354980 0.141428
100.909330 1.554980 0.140802
100.909330 1.754980 0.140211
100.909330 1.954980 0.139645
100.909330 2.154980 0.139102
100.909330 3.754980 0.129984
100.909330 3.954980 0.113851
100.909330 4.154980 0.095905
100.909330 4.354980 0.078822
100.909330 4.554980 0.064820
100.909330 4.754980 0.053475
100.909330 4.954980 0.044549
100.909330 5.154980 0.037577
100.909330 5.354980 0.032152
100.909330 5.554980 0.027361
100.909330 5.754980 0.023520
100.909330 5.954980 0.020760
100.909330 6.154980 0.017525
101.109330 -2.445020 0.254467
101.109330 -2.245020 0.220276
101.109330 -2.045020 0.197205
101.109330 -1.845020 0.190131
101.109330 -1.645020 0.183489
101.109330 -1.445020 0.175023
101.109330 -1.245020 0.165833
101.109330 -1.045020 0.159324
101.109330 -0.845020 0.155350
101.109330 -0.645020 0.153016
101.109330 -0.445020 0.151045
101.109330 -0.245020 0.149452
101.109330 -0.045020 0.147684
101.109330 0.154980 0.146187
101.109330 0.354980 0.145024
101.109330 0.554980 0.144233
101.109330 0.754980 0.143520
101.109330 0.954980 0.142883
101.109330 1.154980 0.142250
101.109330 1.354980 0.141670
101.109330 1.554980 0.141106
101.109330 1.754980 0.140557
101.109330 1.954980 0.140009
101.109330 2.154980 0.139469
101.109330 3.554980 0.118560
101.109330 3.754980 0.114510
101.109330 3.954980 0.096442
101.109330 4.154980 0.079212
101.109330 4.354980 0.065110
101.109330 4.554980 0.053686
101.109330 4.754980 0.044706
101.109330 4.954980 0.037719
101.109330 5.154980 0.032256
101.109330 5.354980 0.027825
101.109330 5.554980 0.024224
101.309330 -2.645020 0.253247
101.309330 -2.445020 0.219270
101.309330 -2.245020 0.196704
101.309330 -2.045020 0.183212
101.309330 -1.845020 0.175435
101.309330 -1.645020 0.169266
101.309330 -1.445020 0.163055
